date,TMK,TNK,TXK
2020-01-16,6.7,-0.9,11.8
2020-01-15,8.7,5.3,11.7
2020-01-14,6.8,3.6,9.9
2020-01-13,4.1,2.7,6.3
2020-01-12,2.7,-0.2,5.8
2020-01-11,3.5,0,6.6
2020-01-10,8.7,4.7,10.6
2020-01-09,8.1,5.9,10.4
2020-01-08,5.3,2.8,6.7
2020-01-07,2.5,0.5,4.6
2020-01-06,3,0.1,5
2020-01-05,2.9,1.6,4.3
2020-01-04,4.1,2.1,5.6
2020-01-03,5.1,1.5,8.6
2020-01-02,0.6,-5.2,7.6
2020-01-01,0.4,-3.4,5.3
2019-12-31,4,1.2,6.2
2019-12-30,4,-0.6,8
2019-12-29,-1.6,-5.9,2.5
2019-12-28,-0.5,-4.9,1.1
2019-12-27,2.1,0.1,4.8
2019-12-26,4.2,2.5,5.8
2019-12-25,5.8,4.4,7
2019-12-24,5.6,3.4,7.6
2019-12-23,6.3,2.6,8.6
2019-12-22,4.4,-1.5,7.6
2019-12-21,5.3,0.4,8.4
2019-12-20,5.4,-1.1,12
2019-12-19,2.5,-0.9,8.1
2019-12-18,7.5,0.5,10.5
2019-12-17,9.7,1.4,13.7
2019-12-16,7.2,2,11.6
2019-12-15,6.4,1.8,11.3
2019-12-14,5,3.2,7
2019-12-13,0.8,-4.7,4.5
2019-12-12,2,-0.9,4
2019-12-11,2.2,0.9,3.4
2019-12-10,2.7,-0.1,5.5
2019-12-09,6.9,4.3,9
2019-12-08,8.8,6.7,10.5
2019-12-07,7.3,4.9,9.5
2019-12-06,2.9,-0.3,6.3
2019-12-05,0.3,-3.1,4.4
2019-12-04,0.8,-3.1,5.7
2019-12-03,3.5,1.4,6.4
2019-12-02,2.4,-0.1,4.6
2019-12-01,0.6,-2.3,3.9
2019-11-30,2.6,-0.6,5.3
2019-11-29,5.6,-0.8,9.1
2019-11-28,9.5,7.8,11.7
2019-11-27,5.9,1.5,9.1
2019-11-26,6.2,3.5,9.9
2019-11-25,2,-1.4,4.9
2019-11-24,0.4,-2.4,6.5
2019-11-23,1.9,-2.9,10.7
2019-11-22,3.5,-1.5,6.9
2019-11-21,5.4,4.3,6.4
2019-11-20,3.8,3.1,4.5
2019-11-19,5.3,3.3,7.3
2019-11-18,5.5,2.3,7.7
2019-11-17,3.4,-1.7,7.1
2019-11-16,4.5,-0.7,8.6
2019-11-15,4.4,1,9.4
2019-11-14,3.3,-1.7,8.2
2019-11-13,4.6,1.6,7.6
2019-11-12,4.6,2.8,7
2019-11-11,1.5,-1.7,4.9
2019-11-10,2.5,-2.5,8.7
2019-11-09,5.5,0.5,6.7
2019-11-08,6.6,3.4,9
2019-11-07,8.2,5.1,11.8
2019-11-06,7.7,4.1,11
2019-11-05,8.1,4.3,11
2019-11-04,10.7,7.9,13.6
2019-11-03,11.6,8.1,14.8
2019-11-02,12.4,8.6,17.1
2019-11-01,3,-5.2,8.7
2019-10-31,0,-4.5,7.7
2019-10-30,2.1,-1.5,7.6
2019-10-29,4.6,-0.7,9.3
2019-10-28,5.5,2.1,11.1
2019-10-27,10.8,4.6,15.9
2019-10-26,14.5,9.6,20.1
2019-10-25,13.9,9,17
2019-10-24,12.3,7,19.9
2019-10-23,10.3,6.7,12.7
2019-10-22,11.7,6.6,18.8
2019-10-21,12.7,7.6,18.6
2019-10-20,13.9,9.5,21.5
2019-10-19,12.4,9.5,15.5
2019-10-18,14.7,10.7,18.2
2019-10-17,13.6,10.1,17.5
2019-10-16,13.7,11.8,15.8
2019-10-15,15.1,8.3,23.6
2019-10-14,17.8,9.6,25.1
2019-10-13,19.4,13.5,25.2
2019-10-12,16.6,11.6,21.7
2019-10-11,12.5,8.7,15
2019-10-10,10.7,8.6,14.9
2019-10-09,12,8.3,15.4
2019-10-08,11.2,7,14
2019-10-07,6,-0.4,12.6
2019-10-06,6.7,1.1,11
2019-10-05,8.2,3.1,11.1
2019-10-04,9.7,8.1,12.6
2019-10-03,10,6.6,13.8
2019-10-02,10.5,6.4,15.1
2019-10-01,15.5,10.7,20.5
2019-09-30,15,11,17.9
2019-09-29,16.3,12.2,21.1
2019-09-28,15.2,11.8,19.4
2019-09-27,15.8,12.1,18.6
2019-09-26,15.8,10,21.1
2019-09-25,14.8,10.8,17.9
2019-09-24,16.6,13.3,21.5
2019-09-23,14.2,5.7,21.2
2019-09-22,13.4,3.4,25.1
2019-09-21,11.4,2.7,21.3
2019-09-20,9.4,3.6,16.7
2019-09-19,9,4.2,15.7
2019-09-18,10.6,6.3,16.1
2019-09-17,12.2,8.2,16.8
2019-09-16,13.8,11.4,17.5
2019-09-15,16.4,7.6,25.6
2019-09-14,13.9,7.8,20.2
