date,TMK,TNK,TXK
1955-03-31,1.2,-4.8,7.3
1955-03-30,0.5,-2.2,5.4
1955-03-29,1.4,-0.4,6
1955-03-28,3.1,1.1,7.2
1955-03-27,9.6,6.4,16.3
1955-03-26,12.8,7.4,18.7
1955-03-25,14.7,10.3,20.6
1955-03-24,13.9,6.6,20.6
1955-03-23,9.6,5.3,12.3
1955-03-22,6.4,2.4,10.1
1955-03-21,2.7,-4.6,5.4
1955-03-20,-1,-4.5,2.6
1955-03-19,-1.4,-4.6,1.4
1955-03-18,-1.7,-4.9,1.5
1955-03-17,0.3,-0.4,2.6
1955-03-16,2.4,0.8,3.4
1955-03-15,1.4,-2.1,2.9
1955-03-14,-0.1,-1.4,3.8
1955-03-13,-1.4,-8,0.6
1955-03-12,-2.2,-5.4,0.8
1955-03-11,-1.9,-4.7,1
1955-03-10,-0.4,-2,2.8
1955-03-09,0.4,-1.2,2.9
1955-03-08,-2.8,-13.6,4.2
1955-03-07,-2.6,-6.7,2.3
1955-03-06,-3.4,-7.4,-0.7
1955-03-05,-1.7,-4.3,0.7
1955-03-04,-3.6,-13,5.4
1955-03-03,-1.4,-5,5.6
1955-03-02,-2.2,-10.6,3.2
1955-03-01,-2.5,-4.7,1.5
1955-02-28,-5.4,-14,0.2
1955-02-27,-8.4,-18,-0.2
1955-02-26,-4.5,-7.9,-1.1
1955-02-25,-3.4,-4.6,-0.2
1955-02-24,-2.4,-3.8,-1
1955-02-23,-1.7,-3.4,1.9
1955-02-22,-2.9,-5.3,-1
1955-02-21,-3.8,-5.7,-2.1
1955-02-20,-1.8,-2.9,1.1
1955-02-19,-3.7,-11.1,0.7
1955-02-18,-4.6,-7.4,0.4
1955-02-17,-2.5,-6.6,1.6
1955-02-16,-6.3,-16,-1.1
1955-02-15,-4.3,-6,-1.8
1955-02-14,-3.5,-5.5,-2
1955-02-13,-1.3,-2.4,1.2
1955-02-12,-0.4,-3.7,2.9
1955-02-11,-1.5,-2.7,2
1955-02-10,0.6,-0.8,2.8
1955-02-09,3.1,1.9,7.1
1955-02-08,6.1,0.2,8.4
1955-02-07,0.4,-1.4,2.2
1955-02-06,1.7,0.8,3.4
1955-02-05,4.4,1.6,7.2
1955-02-04,3.9,-0.1,6.4
1955-02-03,2.8,-2.1,8.2
1955-02-02,-0.4,-3.4,5.8
1955-02-01,0.6,-2,5.6
1955-01-31,-0.9,-3.6,3.4
1955-01-30,-1.8,-3.7,1.6
1955-01-29,-2.5,-3.4,-1.2
1955-01-28,-1.6,-4.9,1.4
1955-01-27,-1.9,-4.8,1.3
1955-01-26,-3.5,-4.6,-1.7
1955-01-25,-3.2,-3.6,-2
1955-01-24,-2.1,-3.6,-0.4
1955-01-23,-0.2,-2.2,3.3
1955-01-22,-0.2,-3.9,1.2
1955-01-21,-3.8,-10.2,1.4
1955-01-20,-5.4,-9.8,1.1
1955-01-19,-2,-3.9,1.2
1955-01-18,-2.6,-8.4,-0.2
1955-01-17,-2.8,-4.9,8
1955-01-16,5.5,-0.2,7.5
1955-01-15,-0.4,-2.2,1.3
1955-01-14,3.1,-3.4,8.8
1955-01-13,-2.6,-4,1
1955-01-12,-0.2,-1.4,5.2
1955-01-11,5.5,-2.1,8
1955-01-10,-1,-2.3,1
1955-01-09,-2.7,-5.5,-1.8
1955-01-08,-4.5,-5.6,-3.9
1955-01-07,-4.3,-5.4,-1.7
1955-01-06,-5.8,-10.1,-4.2
1955-01-05,-6,-7.2,-2.4
1955-01-04,-6.4,-8.4,-3.4
1955-01-03,-3.7,-5.4,-1.8
1955-01-02,-3.6,-5.3,-2.8
1955-01-01,-3.3,-4.8,-0.8
1954-12-31,-0.4,-2.1,0.7
1954-12-30,2.1,-1.3,6.3
1954-12-29,6.4,5.9,7.5
1954-12-28,7.6,6.9,8.4
1954-12-27,7,5.5,7.7
1954-12-26,5.7,2,6.7
1954-12-25,0.6,-1,2
1954-12-24,1.3,0.4,1.7
1954-12-23,3.4,0.7,8.5
1954-12-22,2.6,1.2,4.3
1954-12-21,2.5,1.8,3.8
1954-12-20,2.6,0.2,6.5
1954-12-19,0.7,-0.6,1.3
1954-12-18,-0.1,-1.2,0.6
1954-12-17,-1.3,-1.8,0.8
1954-12-16,0.9,-0.4,7.3
1954-12-15,6.8,3,8.7
1954-12-14,2.4,-0.6,3.4
1954-12-13,3,-0.3,4.6
1954-12-12,2.2,0.7,4.7
1954-12-11,3.4,2.1,4
1954-12-10,3.1,0.5,4.2
1954-12-09,2,-0.8,5.1
1954-12-08,-1.9,-5.3,0.4
1954-12-07,0,-1.6,1.7
1954-12-06,1.4,0.2,3.2
1954-12-05,3.8,2.8,10
1954-12-04,6.8,6.3,8.7
1954-12-03,5.4,-0.6,7.7
1954-12-02,0.8,-1.6,2.8
1954-12-01,4.7,1.6,11
