date,TMK,TNK,TXK
2020-01-16,7.8,3.3,10.5
2020-01-15,11,8.6,12.9
2020-01-14,9.1,6.4,10.7
2020-01-13,5.8,5.1,7.3
2020-01-12,3.3,1,5.9
2020-01-11,3.9,2.4,5.8
2020-01-10,7.6,3.8,10.6
2020-01-09,9.5,7.5,11.2
2020-01-08,6.4,5.1,8.5
2020-01-07,3.7,1.8,5.7
2020-01-06,3.9,2.4,4.5
2020-01-05,2.6,-1.2,4.3
2020-01-04,3.7,0.4,5.7
2020-01-03,5.2,2.9,7.7
2020-01-02,1.5,-0.8,4.4
2020-01-01,0.6,-3.8,4.1
2019-12-31,4.1,-1.4,6.7
2019-12-30,6.6,3.4,9.9
2019-12-29,1,-3.8,4.2
2019-12-28,-1.2,-4.5,1
2019-12-27,0.9,-1.6,3.2
2019-12-26,3.9,1.3,5.5
2019-12-25,5.7,4,7.2
2019-12-24,6.2,4.7,8
2019-12-23,6.4,5.6,7.1
2019-12-22,7.2,5,8.8
2019-12-21,7.3,5.1,8.3
2019-12-20,7.4,0.3,12.6
2019-12-19,9.2,5.6,12.8
2019-12-18,7.7,1.1,12.7
2019-12-17,12.5,9.7,14.5
2019-12-16,8,5.1,10.7
2019-12-15,6.3,3.7,8.6
2019-12-14,4.1,2.7,5.9
2019-12-13,3,2,4.7
2019-12-12,2.8,1.4,3.8
2019-12-11,2.4,1,4.3
2019-12-10,3.1,1.1,4.6
2019-12-09,6,3.3,7.6
2019-12-08,8.2,6,9.9
2019-12-07,7.2,5.3,8.4
2019-12-06,2.2,-0.2,5.4
2019-12-05,2,-2,4.6
2019-12-04,2.2,-2.7,4.9
2019-12-03,4.5,2.9,5.6
2019-12-02,2,-0.6,3.6
2019-12-01,-1.9,-4.2,0.5
2019-11-30,2.1,-2.7,5
2019-11-29,4.6,2,7.6
2019-11-28,9.3,7.5,11
2019-11-27,9.6,8,10.8
2019-11-26,7.7,5.2,10
2019-11-25,3.5,2.2,5.2
2019-11-24,1.9,-1.4,3.7
2019-11-23,1.9,-1.1,6.2
2019-11-22,4.4,0,7.8
2019-11-21,4.5,1.9,6.3
2019-11-20,2.3,-1.2,5.2
2019-11-19,4,0.8,6.8
2019-11-18,4.9,3.4,5.9
2019-11-17,2.1,-1.1,5.7
2019-11-16,4.2,1.9,5.8
2019-11-15,3.8,0.5,6.9
2019-11-14,4.8,0.4,9.3
2019-11-13,4.4,3.5,5.9
2019-11-12,5.2,3.4,7.3
2019-11-11,3.4,1.9,5.1
2019-11-10,2,-1.9,5.9
2019-11-09,5.5,3,7.5
2019-11-08,6.1,2.9,8.2
2019-11-07,7.4,3.4,11.1
2019-11-06,7.2,3.9,8.7
2019-11-05,8.7,7,10.1
2019-11-04,10.6,9.4,13
2019-11-03,11.2,7.7,13.2
2019-11-02,12.3,8.9,14.8
2019-11-01,2.9,-4.4,9.1
2019-10-31,-0.3,-4.2,7.4
2019-10-30,2.3,-2.4,7.8
2019-10-29,4.1,0.7,8.6
2019-10-28,6.8,3.3,10.8
2019-10-27,10.4,5.8,15.4
2019-10-26,14.9,12.2,18
2019-10-25,14.4,12.7,17
2019-10-24,13.6,10.1,16.5
2019-10-23,11.1,6.6,17.6
2019-10-22,11,5.5,14.2
2019-10-21,14.3,8.9,18.4
2019-10-20,13.6,12.2,15.5
2019-10-19,13.3,10.3,15.6
2019-10-18,13.4,10.4,17.6
2019-10-17,14.6,13.2,17.1
2019-10-16,13,10.8,15.3
2019-10-15,19.1,13.9,23.6
2019-10-14,17.5,12.1,22.7
2019-10-13,19.4,16,23
2019-10-12,16.2,13.4,19.2
2019-10-11,13,10.7,15.1
2019-10-10,10.4,8.4,13.1
2019-10-09,11.3,8.9,13.9
2019-10-08,11.4,9.6,13.5
2019-10-07,7,-0.7,13
2019-10-06,6.4,1.7,10.7
2019-10-05,7.9,3.4,11.6
2019-10-04,9.3,8.1,10.8
2019-10-03,9.8,7.9,12.5
2019-10-02,9.6,6.7,14.9
2019-10-01,14.2,11.8,17.6
2019-09-30,13.9,11.2,16.8
2019-09-29,14.8,12.6,16.6
2019-09-28,14.9,13.2,18.5
2019-09-27,14.9,13.5,18.2
2019-09-26,15.5,13.4,18
2019-09-25,14.4,12,17.9
2019-09-24,15.6,10.2,20.6
2019-09-23,13.4,9.1,15.7
2019-09-22,14.3,4.8,25.7
2019-09-21,12.4,3.2,22.6
2019-09-20,9.2,2.4,17.5
2019-09-19,8.9,3.7,15.4
2019-09-18,10.3,5.8,16.8
2019-09-17,11.5,8.3,15.9
2019-09-16,12,10.5,13.6
2019-09-15,16.9,9.3,23.7
2019-09-14,11.4,4.2,19.8
2019-09-13,16.3,6.9,20.2
2019-09-12,17.2,13.6,22.8
2019-09-11,13.8,5.2,21.6
2019-09-10,12.4,6.2,18.9
2019-09-09,12.3,9.5,15.3
2019-09-08,12.8,6.8,18.9
2019-09-07,12.6,6.8,16
2019-09-06,12.6,4.4,19.2
2019-09-05,13.9,7.5,19.5
2019-09-04,18,14.3,23.9
2019-09-03,15.5,7.6,19.1
2019-09-02,13.9,7.8,21.2
2019-09-01,18.2,10.6,25.9
2019-08-31,23.4,14.2,31.6
2019-08-30,20.6,16.2,26.9
2019-08-29,20.5,14.9,27.5
2019-08-28,23.5,15.7,32.4
2019-08-27,22.3,14.2,31.5
2019-08-26,23.5,15.2,31.9
2019-08-25,22.6,13.7,30.6
2019-08-24,20.2,9.2,28.4
2019-08-23,19.1,9,28.6
2019-08-22,17,7.2,26.1
2019-08-21,15.3,8.8,22.5
2019-08-20,15.6,9.2,21
2019-08-19,17.1,9.6,22.9
2019-08-18,18.5,15,24.1
2019-08-17,20,16.7,24.3
2019-08-16,17.7,13.3,22.6
2019-08-15,16.8,13.9,20.9
2019-08-14,16,11,21.1
2019-08-13,15.5,12.3,20.1
2019-08-12,18.1,13.3,24.2
2019-08-11,21,15.8,26.4
2019-08-10,21.8,18.4,25.3
2019-08-09,20.5,11.1,28
2019-08-08,19.7,12.5,25.8
2019-08-07,19.8,14.9,24.1
2019-08-06,20.4,14.3,25.5
2019-08-05,20,12.7,26.4
2019-08-04,17.7,12.6,24.1
2019-08-03,17.4,12.5,24.2
2019-08-02,18.5,11.8,25.3
2019-08-01,18.3,11.2,24.3
2019-07-31,20.3,13,26.2
2019-07-30,22,16.3,29
2019-07-29,19.2,16.3,21.7
2019-07-28,22.9,15.9,28
2019-07-27,23.5,15.5,28.7
2019-07-26,25.1,15.8,31.8
2019-07-25,28.1,16,36.4
2019-07-24,26.3,14.5,35.3
2019-07-23,23.1,13.1,31.5
2019-07-22,19.5,10.6,26.8
2019-07-21,19.4,12.8,24.9
2019-07-20,20.1,11.4,30
2019-07-19,18.5,13,23.9
2019-07-18,18.2,9.4,25.7
