date,TMK,TNK,TXK
2020-01-16,1,-2.3,7.8
2020-01-15,-0.1,-3,4.6
2020-01-14,0.6,-1.9,4.1
2020-01-13,1.5,-0.8,3.1
2020-01-12,-1.6,-5.1,0.7
2020-01-11,2.8,-3.5,5.8
2020-01-10,5.8,2.7,8.9
2020-01-09,4.6,2.5,8.3
2020-01-08,1.5,0.5,2.5
2020-01-07,0,-2.3,2.2
2020-01-06,-0.3,-3.2,4.3
2020-01-05,1.1,-2.2,4
2020-01-04,3.7,1.7,5.6
2020-01-03,-0.3,-2.1,4.7
2020-01-02,-4.1,-9,-0.7
2020-01-01,-4.8,-6.8,-0.4
2019-12-31,-2.5,-5.6,1.7
2019-12-30,-3.1,-7.2,3.3
2019-12-29,-4.1,-7.6,1.5
2019-12-28,-1,-4.7,1.7
2019-12-27,2,-2.2,5.7
2019-12-26,3.3,1.6,6.1
2019-12-25,5.5,3.2,6.9
2019-12-24,5.2,2.4,6.8
2019-12-23,5.8,3.1,7.3
2019-12-22,4.9,3.4,6.9
2019-12-21,5.1,3.9,6.2
2019-12-20,1.7,-2.2,6.8
2019-12-19,0.4,-1.2,3.5
2019-12-18,3.2,-0.2,9.9
2019-12-17,1.4,-1.3,7.3
2019-12-16,4,-0.1,9.7
2019-12-15,6.9,3.9,12.6
2019-12-14,4.8,0.8,8
2019-12-13,1.6,0.3,3.6
2019-12-12,1.4,0.1,3.1
2019-12-11,-1.2,-5.1,2.1
2019-12-10,1.6,-3.7,4.7
2019-12-09,5.9,3.7,8.3
2019-12-08,6.5,4.5,8.4
2019-12-07,4,-0.6,8.2
2019-12-06,-2.3,-3.8,-0.6
2019-12-05,-3.1,-6.1,-1.4
2019-12-04,-1.5,-4.3,4.6
2019-12-03,1.3,-3,4.8
2019-12-02,1.7,-0.1,4.1
2019-12-01,-0.8,-4.1,2.1
2019-11-30,2.3,-2.7,5.8
2019-11-29,5.5,0.9,8.3
2019-11-28,7.7,3.9,11.7
2019-11-27,4.3,3,5.9
2019-11-26,4,2.8,5.3
2019-11-25,3.1,1.6,4.1
2019-11-24,2.7,-0.6,9.7
2019-11-23,2.9,-2.2,11.7
2019-11-22,3.1,-0.4,4.9
2019-11-21,4.8,3.5,5.6
2019-11-20,4.6,2.7,6.4
2019-11-19,3.1,-1.6,7.6
2019-11-18,5.1,0.8,8.6
2019-11-17,7.1,3.2,13.4
2019-11-16,5,3.1,6.5
2019-11-15,2.9,-1.6,6.9
2019-11-14,2.6,-1.9,8.3
2019-11-13,2.9,1,5
2019-11-12,3.7,1,5.3
2019-11-11,1.2,-0.3,2.6
2019-11-10,0.3,-1.1,2.9
2019-11-09,4.3,-0.5,7.2
2019-11-08,5.5,3.2,7.1
2019-11-07,6.8,3.9,11.8
2019-11-06,6.4,4.1,10.1
2019-11-05,7.2,2.6,10.9
2019-11-04,9.6,6.6,13.1
2019-11-03,9.5,8.2,11.9
