date,TMK,TNK,TXK
2020-01-16,7.9,2.3,14.8
2020-01-15,11.6,7.9,14.1
2020-01-14,9.1,3.8,12.1
2020-01-13,6.3,4.2,8.7
2020-01-12,3.4,-2.3,6.8
2020-01-11,3.6,-1,6.8
2020-01-10,9,5.5,11.3
2020-01-09,9.2,6.3,12.6
2020-01-08,5.9,2.2,7.8
2020-01-07,4.2,0.3,9.2
2020-01-06,0.3,-1.8,1.6
2020-01-05,6,0.9,7.9
2020-01-04,5.5,3.1,7.4
2020-01-03,5.7,1,9.9
2020-01-02,0.8,-0.3,1.6
2020-01-01,0.6,-1.9,4.2
2019-12-31,-0.9,-4.7,2.1
2019-12-30,-0.7,-3.5,4.2
2019-12-29,-1.2,-4.4,2.9
2019-12-28,0.2,-2.8,4
2019-12-27,5.2,2,6.9
2019-12-26,3.1,0,5.2
2019-12-25,7.6,3.5,9.8
2019-12-24,8,4.4,11.4
2019-12-23,8.6,7,10.9
2019-12-22,7.8,4.7,11.4
2019-12-21,5,2,8.9
2019-12-20,4.6,2.3,8.1
2019-12-19,4.9,2.3,6.7
2019-12-18,8.3,3.3,12.7
2019-12-17,7.2,4.1,12.5
2019-12-16,6.9,5.2,9.1
2019-12-15,8.2,4.5,11.7
2019-12-14,7.6,5,9.4
2019-12-13,3.9,1.5,7.1
2019-12-12,3,0.4,7.2
2019-12-11,2.2,1,3.8
2019-12-10,3.8,0.5,7.5
2019-12-09,7.8,5.4,9.6
2019-12-08,10.1,8.7,11.8
2019-12-07,9.3,6.6,11.3
2019-12-06,2.7,-2.2,6.6
2019-12-05,-0.9,-3.6,3.2
2019-12-04,1.8,-1.6,6.7
2019-12-03,3.6,0.9,6.7
2019-12-02,2.4,-2.1,7.1
2019-12-01,2.2,-1.1,4.1
2019-11-30,2.7,-1.4,7.6
2019-11-29,7.2,3,10.5
2019-11-28,10.8,9.4,12.4
2019-11-27,9.7,5.5,13.7
2019-11-26,6.9,5.5,8.9
2019-11-25,4.3,2.4,5.6
2019-11-24,4.8,2.5,10.7
2019-11-23,6.2,4,10.7
2019-11-22,4,2.6,5.4
2019-11-21,2.4,-0.2,3.8
2019-11-20,2,-1,6.4
2019-11-19,4.7,0.6,8.8
2019-11-18,4.6,3.4,5.3
2019-11-17,4.8,2,6.9
2019-11-16,2.6,-0.4,8.6
2019-11-15,5.1,2.8,7.7
2019-11-14,4.6,0.8,8.6
2019-11-13,4.2,-0.2,6.7
2019-11-12,5.7,0.7,9.4
2019-11-11,3.8,2.7,5
2019-11-10,2.9,0.6,4.2
2019-11-09,5.9,0.5,8.7
2019-11-08,5.7,2.2,8.7
2019-11-07,8.1,3.2,11
2019-11-06,9.4,7.2,11.9
2019-11-05,10,7.9,13.5
2019-11-04,10.9,9.2,13.5
2019-11-03,12.3,10.8,14.7
2019-11-02,13.2,7.7,17.5
2019-11-01,4.9,0.6,7.7
2019-10-31,3.2,-1.6,9.9
2019-10-30,4.7,0.1,8.9
2019-10-29,5.7,1.2,11.3
2019-10-28,5.4,2.2,10.3
2019-10-27,9.2,5.6,14.9
2019-10-26,10.6,5.6,20.4
2019-10-25,12.4,7.5,17.9
2019-10-24,14.8,10.2,21.6
2019-10-23,11.3,7.4,14.5
2019-10-22,12.8,9.1,18.8
2019-10-21,14.4,11.1,18.5
2019-10-20,14.3,12.8,16.7
2019-10-19,12.5,8.1,18.1
2019-10-18,13.6,8.2,18.6
2019-10-17,14.7,11.7,17.6
2019-10-16,13.6,11.2,17.9
2019-10-15,14.3,10.3,20.2
2019-10-14,16.8,10.9,26
2019-10-13,16.7,9.8,26
2019-10-12,15.1,6.1,22
2019-10-11,12.4,5.7,18.9
2019-10-10,11.8,6.3,17.2
2019-10-09,11.4,8.8,14.5
2019-10-08,13,10,15.6
2019-10-07,10.4,8.7,12.5
2019-10-06,8.4,6.2,9.5
2019-10-05,11,7.3,13.1
2019-10-04,10.6,7.1,15.1
2019-10-03,10.1,7,14.6
2019-10-02,12.4,7.5,15.8
2019-10-01,15.5,9.8,21
2019-09-30,15.9,10.9,19.9
2019-09-29,16.1,11,21.5
2019-09-28,15.6,11.3,18.9
2019-09-27,15.7,11.6,18.1
2019-09-26,16.5,11.9,19.7
2019-09-25,15.4,11.1,20
2019-09-24,13.6,9.8,18
2019-09-23,16.3,11.4,21.5
2019-09-22,15.5,7.3,24.6
2019-09-21,13.5,4,24.6
2019-09-20,11.2,4,20.4
2019-09-19,11.2,5,18.7
2019-09-18,12.6,6.4,19.9
2019-09-17,16.6,11.3,21.5
2019-09-16,17.7,10.7,24.6
2019-09-15,18.3,10.1,29.2
2019-09-14,17.3,10.6,24.8
2019-09-13,18.4,14.4,24.1
2019-09-12,19.2,15.4,24.9
2019-09-11,15.7,7.4,24.2
2019-09-10,13.3,6.2,21.9
2019-09-09,13.5,9,18.5
2019-09-08,13.6,12.1,16.1
2019-09-07,13.1,10.8,16.5
2019-09-06,14.9,8,22.1
2019-09-05,16.3,10.9,21.4
2019-09-04,19.4,11,27.5
2019-09-03,17.8,9.5,26.9
2019-09-02,16.9,11.8,23.3
2019-09-01,19.4,14.4,23.9
2019-08-31,24.2,15.6,33.3
2019-08-30,23,16.1,31.4
2019-08-29,24.2,18.8,30.9
2019-08-28,25.6,19.6,34.3
2019-08-27,25.1,17.6,33.7
2019-08-26,24.9,16.8,33.6
2019-08-25,23.8,16.5,32.8
2019-08-24,21.6,12.3,30.6
2019-08-23,20.3,11.2,29.6
2019-08-22,18.7,10.1,27.2
2019-08-21,17.8,10.9,25.3
2019-08-20,17.1,12,21.7
2019-08-19,20.3,15.2,25.9
2019-08-18,21.7,17.4,30
2019-08-17,18.4,15.8,22.9
2019-08-16,19.4,14.1,25.9
2019-08-15,18.5,15.6,23.3
2019-08-14,18.4,13.2,24.9
2019-08-13,17.4,12.9,23.3
2019-08-12,17.3,12.8,25.1
2019-08-11,19.1,14.3,27.2
2019-08-10,21.8,16.9,27.3
2019-08-09,21.7,15.1,29.8
2019-08-08,21.2,14.8,28.5
2019-08-07,19.6,16.1,23.7
2019-08-06,21.1,17.1,27.8
2019-08-05,23.5,18,31.2
2019-08-04,21.7,13.5,29.6
2019-08-03,21,16.3,26.4
2019-08-02,20.1,15.7,27.7
2019-08-01,20.6,13.5,27.4
2019-07-31,21.6,15.2,27
2019-07-30,23.4,16.1,31.7
2019-07-29,22.5,17.4,29.4
2019-07-28,20.8,18.8,24.3
2019-07-27,22.4,19.9,26.2
2019-07-26,27.9,20.9,38
2019-07-25,30,20.3,39.7
2019-07-24,28.5,18.3,38.3
2019-07-23,26.1,16.7,34.9
2019-07-22,23.9,15.4,32.6
2019-07-21,23.5,17.8,29.9
2019-07-20,24.1,14.8,33.4
2019-07-19,21,16.5,26.2
2019-07-18,21.1,13.3,29.2
2019-07-17,19.3,11.6,26.1
2019-07-16,17.3,9.6,24.5
2019-07-15,17.1,11.6,21.8
2019-07-14,17.5,14.8,21
2019-07-13,18.6,14.5,24
2019-07-12,17.8,14.6,23.8
2019-07-11,17.9,16.3,21.7
2019-07-10,18.6,8.5,27.6
2019-07-09,15.9,9.7,22.5
2019-07-08,16.3,11.6,21.2
2019-07-07,18.2,12.7,23.8
2019-07-06,24,15.6,32.7
2019-07-05,22.6,14.3,30.9
2019-07-04,20,10.9,28.7
2019-07-03,19.8,12.2,26.7
2019-07-02,20.4,13.9,26.2
2019-07-01,24.5,17.7,29.5
2019-06-30,28.2,16.2,39.3
2019-06-29,24.5,13.6,34
2019-06-28,22.4,14.3,30.7
2019-06-27,26.2,16.4,32.6
2019-06-26,28.9,20.1,37.4
2019-06-25,27.3,17.7,36.7
2019-06-24,25.2,16.4,33.1
2019-06-23,22.4,14.3,30.2
2019-06-22,19.9,12,28.2
2019-06-21,19.8,14.1,26
2019-06-20,21.4,16,26.6
2019-06-19,24.4,16.4,31.7
2019-06-18,23.1,13.8,30.9
2019-06-17,20.4,11.3,28.1
2019-06-16,19.6,13.7,24.6
2019-06-15,20.6,15.1,26.6
2019-06-14,18.2,9.6,25.2
2019-06-13,17.3,9.9,25.2
2019-06-12,16.4,11.2,22
2019-06-11,17.6,13.5,21.5
2019-06-10,19.2,14.6,23.7
2019-06-09,17.7,8,25
2019-06-08,16.2,10.5,21
2019-06-07,15.6,8.3,26.4
2019-06-06,14.9,9.8,17.8
2019-06-05,23.4,16.9,30.4
2019-06-04,23,13.8,31.8
2019-06-03,21.1,15.3,30.1
2019-06-02,23.4,13.8,32.1
2019-06-01,21.3,12.7,29.1
2019-05-31,20.1,14.4,25.9
2019-05-30,16,8.3,21.8
2019-05-29,15,10.9,20.8
2019-05-28,15,11.1,20.3
2019-05-27,16.3,12.4,22.8
2019-05-26,17.7,9.7,24.6
2019-05-25,17.2,12.3,23.2
2019-05-24,17.9,10.5,24.5
2019-05-23,15.3,7.6,22.7
2019-05-22,14.1,9.5,20
2019-05-21,13.4,12.1,14.5
2019-05-20,14.4,10.9,16.9
2019-05-19,16.8,11,24.2
2019-05-18,15.4,8.8,23.2
2019-05-17,13.1,8.4,20.1
2019-05-16,11.5,6.8,18.6
2019-05-15,10.4,2.5,17.1
2019-05-14,10.3,3.2,17
2019-05-13,10.5,2.7,17.6
2019-05-12,9.5,3.8,16.1
2019-05-11,10.2,5.7,12.1
2019-05-10,13.1,5.4,19.1
2019-05-09,10.9,6.7,15.5
2019-05-08,9.3,5.6,13
2019-05-07,10.3,5.8,16
2019-05-06,8.3,3,13.1
2019-05-05,6.9,1.7,12.9
2019-05-04,6.8,3.6,10
2019-05-03,11.7,7.3,15.8
2019-05-02,13.8,8,20.6
2019-05-01,14.5,6.2,22.2
2019-04-30,14.1,9.4,20.4
2019-04-29,9.6,2.7,16
2019-04-28,8.2,3.3,12.9
2019-04-27,9.3,4.9,14
2019-04-26,11.4,8,15.1
2019-04-25,13.3,5.1,23.8
2019-04-24,14.9,7.2,25.5
2019-04-23,15.8,9.3,21.4
2019-04-22,16.1,6,25.9
2019-04-21,16,6.6,25.6
2019-04-20,16,6.6,25.6
2019-04-19,15.5,5.8,24.7
2019-04-18,14,4.9,22.6
2019-04-17,13.1,7.3,18.6
2019-04-16,11.1,2.6,19.3
2019-04-15,10.3,1.4,19.1
2019-04-14,6.3,1.2,12.6
2019-04-13,4.3,2.5,8.5
2019-04-12,5,-0.5,9
2019-04-11,6.8,0.8,12.8
2019-04-10,9.7,2.9,15.2
2019-04-09,11.6,7.7,16.5
2019-04-08,12.3,8.4,16
2019-04-07,13.2,6,19.4
2019-04-06,10.4,6,16.3
2019-04-05,6.8,4.2,9.3
2019-04-04,6.1,4.6,8.2
2019-04-03,8.2,5.6,11
2019-04-02,11.1,5.2,19.7
2019-04-01,10.1,2.6,18.3
2019-03-31,11.5,4,20.1
2019-03-30,11.6,2.9,21.8
2019-03-29,10.2,3.1,17.8
2019-03-28,8.3,1,16.3
2019-03-27,7.2,2.5,12.7
2019-03-26,6.2,1.6,10
2019-03-25,5.9,2.2,11.3
2019-03-24,7.6,2,14.6
2019-03-23,8.8,3.8,16.2
2019-03-22,9.8,1.6,20
2019-03-21,8.1,0.2,17
2019-03-20,6.2,-0.6,14
2019-03-19,5.3,-0.3,12.5
2019-03-18,5.8,1.6,10.2
2019-03-17,8.4,3,10.9
2019-03-16,11.3,7.8,12.6
2019-03-15,10.6,4.9,13.7
2019-03-14,6.9,3.7,9.6
2019-03-13,6.6,4.1,9.4
2019-03-12,7.1,0.9,11.4
2019-03-11,6,3.6,8.6
2019-03-10,10.5,4.4,16.1
2019-03-09,10.6,7.3,12.9
2019-03-08,8.2,6.7,10.4
2019-03-07,10.5,7.5,14
2019-03-06,9,4.5,17
2019-03-05,6.5,3.5,8
2019-03-04,9,5,13.3
2019-03-03,11.2,9.6,12.7
2019-03-02,9.2,6.6,12.8
2019-03-01,9.5,6.9,11.8
2019-02-28,10,1.4,19.4
2019-02-27,11,2,19
2019-02-26,8.2,0,19.4
2019-02-25,7,-0.3,16.5
2019-02-24,4.7,-1.3,12.4
2019-02-23,4.4,0.2,9
2019-02-22,9.5,4.6,13
2019-02-21,6.6,0.8,12.6
2019-02-20,5.4,-0.5,12.4
2019-02-19,5.7,1.3,10.7
2019-02-18,4.8,-1.4,13.8
2019-02-17,3.6,-1.1,13.2
2019-02-16,4.1,-1.6,13.5
2019-02-15,4,-1.8,13
2019-02-14,2.4,-2.4,11.1
2019-02-13,2.6,-2.3,9.8
2019-02-12,3.9,0.3,7.8
2019-02-11,5.9,2.5,8.3
2019-02-10,7.1,3,11.1
2019-02-09,8.4,4.9,10.8
2019-02-08,7.1,2.3,9.1
2019-02-07,2.7,-0.8,8.1
2019-02-06,0.5,-2.4,6.4
2019-02-05,2.2,-1.7,6.1
2019-02-04,0.9,-3.5,6.3
2019-02-03,3,0.2,4.4
2019-02-02,2.9,1.4,4.9
2019-02-01,1.4,-0.6,3.5
2019-01-31,-0.3,-3,2.6
2019-01-30,0.3,-2.2,2.7
2019-01-29,1.7,-1.4,4.3
2019-01-28,3.2,2.2,4.6
2019-01-27,6.1,3.2,8.2
2019-01-26,4.2,1.5,6.3
2019-01-25,0,-2.6,2.8
2019-01-24,-1.9,-2.7,-1.1
2019-01-23,-1.7,-2.6,-0.9
2019-01-22,-4,-8.6,-0.9
2019-01-21,-4.5,-8.3,1.6
2019-01-20,-3.6,-7.1,0.5
2019-01-19,-2.5,-5.7,3.1
2019-01-18,1.1,-2.9,4.6
2019-01-17,5.6,2.4,7.9
2019-01-16,5.8,4.4,7.6
2019-01-15,5.1,2.3,7.2
2019-01-14,5.6,2.9,7.7
2019-01-13,8.5,6.9,10.4
2019-01-12,5.8,4.9,7.5
2019-01-11,2.4,0.5,5.1
2019-01-10,2,0.6,2.7
2019-01-09,4,2.5,5.3
2019-01-08,6.5,4.4,7.7
2019-01-07,5.8,4.8,8.1
2019-01-06,6.4,5.1,7.3
2019-01-05,6,3.3,8.2
2019-01-04,2.6,-0.4,5.5
2019-01-03,2.1,-2.3,4.4
2019-01-02,3.8,-1.3,6.3
2019-01-01,7.4,4.8,8.2
2018-12-31,8.3,6.4,10.2
2018-12-30,7.4,6.2,8.7
2018-12-29,2.4,-0.7,6.3
2018-12-28,-0.1,-1.4,2.8
2018-12-27,-1.3,-2.4,-0.3
2018-12-26,-2.2,-4.6,0
2018-12-25,0.2,-2.3,5.5
2018-12-24,5.7,-0.8,13.8
2018-12-23,9.6,6.8,14.2
2018-12-22,11.5,9.1,13.1
2018-12-21,10.7,7.8,13.7
2018-12-20,6.4,2.8,8.6
2018-12-19,2.9,0.5,4.5
2018-12-18,2.6,-0.2,6.8
2018-12-17,2,0,5.8
2018-12-16,-1,-2.5,1
2018-12-15,0.9,0.1,1.4
2018-12-14,0.5,-1,1.2
2018-12-13,1.5,-0.5,2
2018-12-12,3,1.5,5
2018-12-11,3.5,1.5,6
2018-12-10,5,3.5,8
2018-12-09,7.5,5.5,9.5
2018-12-08,8,6,10.5
2018-12-07,11.4,7.6,13.1
2018-12-06,9,4.6,13
2018-12-05,3.5,0.7,5.7
2018-12-04,7.3,0.9,11.8
2018-12-03,11.9,10.2,14.1
2018-12-02,11.1,8.8,13.2
2018-12-01,6.6,2.7,10.4
2018-11-30,4.4,1.7,6.1
2018-11-29,4.1,1.5,5.9
2018-11-28,4.1,2.1,6.4
2018-11-27,4.3,2.6,5.4
2018-11-26,6.7,5.1,8
2018-11-25,6.2,4.7,8
2018-11-24,4.1,2.8,5.4
2018-11-23,1.2,-3.1,6.5
2018-11-22,2.6,-1.5,5.1
2018-11-21,2.1,-1.9,4.3
2018-11-20,3.8,0.7,5.3
2018-11-19,3.7,-0.4,6
2018-11-18,3.5,-1.3,9.5
2018-11-17,4.7,-0.9,11.2
2018-11-16,6.1,0.5,10.5
2018-11-15,6.5,5.4,7.3
2018-11-14,5.6,3.4,7.7
2018-11-13,11,5.2,14.6
2018-11-12,12.1,8,17.9
2018-11-11,12.3,8.6,17.8
2018-11-10,11.3,7.2,14.7
2018-11-09,9.3,5.4,13.2
2018-11-08,11.4,8.4,14.7
2018-11-07,8.9,5.5,14.5
2018-11-06,8.5,4.8,15.1
2018-11-05,10.5,5.1,15.1
2018-11-04,9.8,7,12.2
2018-11-03,7.2,2.9,12.9
2018-11-02,9,3.9,15.2
2018-11-01,5.9,2.6,11.5
2018-10-31,4.9,0,9.6
2018-10-30,6.4,4.3,8
2018-10-29,6.7,5.3,8
2018-10-28,6.6,6,7.7
2018-10-27,7.9,5.9,10.1
2018-10-26,10.9,8.2,12.6
2018-10-25,13.5,10.4,16.5
2018-10-24,14.3,12.7,17.3
2018-10-23,9.7,3.7,14.3
2018-10-22,8.7,3.2,15.4
2018-10-21,8.9,3.2,17.6
2018-10-20,11.3,5.6,18.1
2018-10-19,13.1,8.8,19.7
2018-10-18,13.6,9.3,21
2018-10-17,14.3,8,23.3
2018-10-16,15.2,8.2,26.1
2018-10-15,15.3,9.4,25.8
2018-10-14,15.4,8.4,25.9
2018-10-13,16.4,9.8,26.6
2018-10-12,16.9,10.5,27.4
2018-10-11,14.7,8.5,22
2018-10-10,14.1,6.8,23.8
2018-10-09,13.3,7,22.4
2018-10-08,12.8,6.6,21.6
2018-10-07,13.3,8.5,19.6
2018-10-06,14,7,23.8
2018-10-05,12.1,4.5,22.1
2018-10-04,11,4.8,19.8
2018-10-03,13.7,7.7,18.6
2018-10-02,9.2,5.7,12.1
2018-10-01,10.5,4.9,15.2
2018-09-30,10.6,2.5,18.4
2018-09-29,10.3,3.6,15.6
2018-09-28,12.8,6.6,20.8
2018-09-27,12.9,5,23.4
2018-09-26,9.4,2.9,18.8
2018-09-25,9.5,4.1,16.9
2018-09-24,11.3,6.8,16.3
2018-09-23,14.2,10,23.1
2018-09-22,13.7,10.3,19.2
2018-09-21,16.4,12.5,24.7
2018-09-20,21.1,14.8,29.5
2018-09-19,22.6,16,30.8
2018-09-18,20.8,11,31.9
2018-09-17,18.4,9.7,29.1
2018-09-16,16.3,8,26.5
2018-09-15,15.9,10.1,23.3
2018-09-14,18.2,12.5,22.7
2018-09-13,17.4,15,20.3
2018-09-12,21.4,12.5,31.6
2018-09-11,20.1,12.5,28.8
2018-09-10,18.8,10.8,29.6
2018-09-09,17.8,10.9,27.1
2018-09-08,15.7,8.6,23.1
2018-09-07,17.5,11.9,21.8
2018-09-06,18.7,15.7,26.8
2018-09-05,21.9,15.2,29.8
2018-09-04,21.5,17.1,27.7
2018-09-03,18.8,15.4,24.1
2018-09-02,15.8,9.8,19.8
2018-09-01,16.1,9.1,23.6
2018-08-31,16,11.4,21.1
2018-08-30,17.6,13,22
2018-08-29,19,10.8,29.3
2018-08-28,17.7,10.4,25.8
2018-08-27,17.6,13.8,21.7
2018-08-26,15.8,7.7,22.9
2018-08-25,15.8,11.2,20
2018-08-24,19.1,15.4,23.2
2018-08-23,24.1,18.2,32.6
2018-08-22,24.9,16.3,34.4
2018-08-21,24.1,18.3,31
2018-08-20,22.6,16.5,27.9
2018-08-19,22.8,13.8,32
2018-08-18,21.5,14.8,29.1
2018-08-17,21.9,15.9,30.4
2018-08-16,22.3,13.2,32.4
2018-08-15,20.1,14.9,26.5
2018-08-14,20,14.7,25.8
2018-08-13,18.4,14.1,25.9
2018-08-12,19.9,10.1,29.8
2018-08-11,19,13.3,25.5
2018-08-10,19.5,14.2,25.5
2018-08-09,22.5,17.9,33.2
2018-08-08,25.9,20.4,30.4
2018-08-07,27.4,18,37.2
2018-08-06,25.7,16,35.4
2018-08-05,25.7,18.7,32
2018-08-04,28,20.3,35.9
2018-08-03,28,19.7,36.6
2018-08-02,25.3,16.8,34
2018-08-01,23,18.7,29.6
2018-07-31,27.6,19.2,35.9
2018-07-30,26.5,17.6,35.4
2018-07-29,24.4,17,32.3
2018-07-28,24,18.8,32.4
2018-07-27,27.5,18.6,35.7
2018-07-26,28.3,19.5,36.8
2018-07-25,27.3,18,36.3
2018-07-24,25.5,16.6,34.1
2018-07-23,23.4,15.7,31
2018-07-22,21.4,16,28.9
2018-07-21,20.4,16.7,25.1
2018-07-20,24,14.9,32.4
2018-07-19,22.5,14,30.4
2018-07-18,23.1,16.2,28.8
2018-07-17,23.3,14.7,31.4
2018-07-16,22.2,15,29.9
