date,TMK,TNK,TXK
2020-01-16,5.6,2.5,9
2020-01-15,11,6.1,12.3
2020-01-14,8.5,4.7,11.6
2020-01-13,5.5,3.7,7.5
2020-01-12,5.5,3.9,8
2020-01-11,3.6,0.3,5.4
2020-01-10,7.4,3.8,10.7
2020-01-09,9.7,7.8,11.7
2020-01-08,8.1,5.8,10
2020-01-07,4.5,-0.2,7
2020-01-06,4,-0.1,5.6
2020-01-05,2.8,-1.4,5.2
2020-01-04,3.7,1.4,6.3
2020-01-03,5.3,2.4,8
2020-01-02,-1.6,-4.9,2.6
2020-01-01,-1.8,-4.4,1.4
2019-12-31,4.7,0.4,7.5
2019-12-30,5.1,0.9,8
2019-12-29,-1.2,-4.9,2
2019-12-28,-2,-4.4,0.1
2019-12-27,1.4,-1.8,2.7
2019-12-26,3.8,1.7,5.2
2019-12-25,5.2,4.4,6.2
2019-12-24,5.3,4.7,6.1
2019-12-23,6.8,5.5,7.5
2019-12-22,4.7,3.1,6.8
2019-12-21,6.3,2.8,8.7
2019-12-20,5.9,1.3,9.3
2019-12-19,6.6,1.6,12.4
2019-12-18,6,1.8,10.5
2019-12-17,9.2,4.7,13
2019-12-16,5.3,2.8,7.2
2019-12-15,5.6,1.2,8.3
2019-12-14,3.5,1.1,5.6
2019-12-13,0.8,-0.2,1.8
2019-12-12,3.1,1,4.3
2019-12-11,3.5,2.6,4.5
2019-12-10,3,0.6,4.8
2019-12-09,5.7,3,7.3
2019-12-08,8,6.3,9.4
2019-12-07,7.8,6.8,8.6
2019-12-06,4.6,1.7,7
2019-12-05,0.3,-2.8,2.9
2019-12-04,3,-2.2,6.2
2019-12-03,4.7,2.2,6
2019-12-02,2.9,0.9,5.6
2019-12-01,1,-0.6,2.3
2019-11-30,2,-0.8,5.6
2019-11-29,3.4,-0.4,6.9
2019-11-28,8.9,6.8,10
2019-11-27,8,7.3,9.1
2019-11-26,6.3,3.4,8.9
2019-11-25,4.3,3.5,5.2
2019-11-24,4.8,3.7,5.7
2019-11-23,6.7,5.5,7.8
2019-11-22,5,1.9,7
2019-11-21,4.1,1.4,6.1
2019-11-20,2.6,1,3.5
2019-11-19,5,2.6,6.8
2019-11-18,5.4,4.3,5.9
2019-11-17,2,-1.9,5.4
2019-11-16,3.9,0.4,5.5
2019-11-15,4.6,2.6,6.5
2019-11-14,3.5,-0.8,7.2
2019-11-13,3.2,-0.2,5.5
2019-11-12,4.5,1.1,7.7
2019-11-11,1.9,-2.2,4.8
2019-11-10,1.8,-2.2,7.2
2019-11-09,5,1.6,7.8
2019-11-08,4.8,0.7,8.4
2019-11-07,5.2,2.5,8.2
2019-11-06,6.6,4.1,8.1
2019-11-05,8.3,6.5,9.4
2019-11-04,9.7,6.1,11.4
2019-11-03,10.2,8.2,13.5
2019-11-02,10.7,6.9,14.7
2019-11-01,1.7,-3.4,6.9
2019-10-31,1.1,-4.1,7.7
2019-10-30,1.4,-3.1,8.3
2019-10-29,3.6,-1.3,9.7
2019-10-28,7,3.9,11.7
2019-10-27,10.1,6.2,17.1
2019-10-26,15.1,12,18.5
2019-10-25,13.3,10.4,15.5
2019-10-24,13.4,11.6,16.2
2019-10-23,10.1,4.9,15.4
2019-10-22,10.8,6.4,13.7
2019-10-21,13.2,10.1,17.5
