date,TMK,TNK,TXK
2020-01-16,7.9,1.7,13.9
2020-01-15,10,6.2,13
2020-01-14,7.9,3.5,10.8
2020-01-13,5.2,4.1,7
2020-01-12,1.6,-3,4.6
2020-01-11,3.3,-2,6.4
2020-01-10,8,5.6,10.2
2020-01-09,10,7.9,12
2020-01-08,5.6,2.3,8
2020-01-07,3.8,-1.7,6.5
2020-01-06,0.6,-2.3,6
2020-01-05,4.7,1.7,6.8
2020-01-04,4.4,1.5,7.5
2020-01-03,6.2,2.7,8
2020-01-02,-0.2,-5.6,3
2020-01-01,-1.4,-4.8,5
2019-12-31,0.8,-2.6,4
2019-12-30,-1,-4.9,5.7
2019-12-29,-2,-5.7,3.8
2019-12-28,-1,-3.7,2.8
2019-12-27,4,-0.5,5.6
2019-12-26,4,1.6,7
2019-12-25,6.7,3.4,8.5
2019-12-24,6.8,5.3,8.8
2019-12-23,6.9,6.2,8.1
2019-12-22,6.1,1.1,8.2
2019-12-21,4.4,0.5,8
2019-12-20,4.6,-0.5,9.5
2019-12-19,3.7,0.8,9.9
2019-12-18,9.1,3,13.1
2019-12-17,9.1,5.1,15.1
2019-12-16,8.4,4.8,13.2
2019-12-15,8.1,6.2,10.6
2019-12-14,6.3,2.7,8.3
2019-12-13,3,0.1,5.3
2019-12-12,2.5,-1,4.1
2019-12-11,1.6,0.5,4
2019-12-10,2.2,-1.1,5.5
2019-12-09,6.3,4,8.2
2019-12-08,8.9,7.5,10.5
2019-12-07,7.7,6.1,10
2019-12-06,2.2,-4.7,6.4
2019-12-05,-1.4,-5,3.9
2019-12-04,-0.2,-3,4.9
2019-12-03,2.4,-0.8,5.8
2019-12-02,1.6,-1.2,5.1
2019-12-01,0.7,-2.5,2.6
2019-11-30,2.3,-2.3,7.1
2019-11-29,5.5,1.5,8.6
2019-11-28,9.4,8.3,10.9
2019-11-27,9.5,6,11.9
2019-11-26,8.1,5.7,11.1
2019-11-25,5,2.2,6.6
2019-11-24,4.3,1.5,8.5
2019-11-23,7.3,3.6,10.6
2019-11-22,2.7,-0.7,5.1
2019-11-21,3.3,0.1,8.3
2019-11-20,1.1,-1,3.1
2019-11-19,3.9,0.2,5.6
2019-11-18,4,3.3,4.8
2019-11-17,3.3,1.4,5
2019-11-16,3.9,1.1,7.8
2019-11-15,4.5,2.4,6.9
2019-11-14,3.9,-0.9,8
2019-11-13,3.7,-0.1,6.5
2019-11-12,5,2.6,7.8
2019-11-11,2.2,1.2,4.3
2019-11-10,1.9,-1,6.6
2019-11-09,5,1.7,9.6
2019-11-08,5.3,4,6.9
2019-11-07,7.9,5.3,10.8
2019-11-06,8,5.6,10
2019-11-05,8.4,5.2,12.2
2019-11-04,9.8,8.1,11.9
2019-11-03,11.8,9.8,15.3
2019-11-02,13.1,10.5,15.8
2019-11-01,7.5,3.3,11.4
2019-10-31,2.7,-2.3,9.2
2019-10-30,3.7,-1,8.5
2019-10-29,5.4,1.7,9.3
2019-10-28,6.3,2.9,10.5
2019-10-27,11.2,6.5,17.1
2019-10-26,11.8,5.1,19.1
2019-10-25,12,7.4,16.9
2019-10-24,14,9,19.7
2019-10-23,11.8,8.3,14.4
2019-10-22,13,9.3,18
2019-10-21,14,10.7,18.9
2019-10-20,14.9,11.7,20.3
2019-10-19,12.5,8.9,15.3
2019-10-18,13,8.8,17.7
2019-10-17,14.3,11.6,18.6
2019-10-16,12.5,10.4,16.6
2019-10-15,14.3,9.6,23.2
2019-10-14,16.1,10.2,24.8
2019-10-13,17.2,11.8,25.5
2019-10-12,15.3,8.6,22.1
2019-10-11,11.7,6.6,17.9
2019-10-10,10.6,7.3,15.8
2019-10-09,11.1,8.5,14.4
2019-10-08,12.2,10.5,14
2019-10-07,9.7,7.4,12.2
2019-10-06,7.9,5,9.5
2019-10-05,9.8,5.5,12.6
2019-10-04,9.5,6.3,12.3
2019-10-03,9.3,5.8,14.3
2019-10-02,11.6,5.6,14.8
2019-10-01,14.5,9.2,19.2
2019-09-30,14.1,10.2,18.5
2019-09-29,16.3,12.5,21.3
2019-09-28,14.5,12.4,18.1
2019-09-27,14.6,11.3,16.5
2019-09-26,15.5,13.3,18.1
2019-09-25,14.9,13.3,18.1
2019-09-24,13.8,8.4,19.2
2019-09-23,14.8,10,19.1
2019-09-22,14.8,5.2,24.3
2019-09-21,12.3,2.5,22.8
2019-09-20,9.5,1.9,18.3
2019-09-19,9.1,2.5,16.7
2019-09-18,10.5,4.3,17.2
2019-09-17,15.1,8.6,20
2019-09-16,16.1,8.3,23.4
2019-09-15,16.8,8.8,26.4
2019-09-14,16.2,10.8,24.1
2019-09-13,16.3,10.8,22.3
2019-09-12,17.7,12.7,23.9
2019-09-11,14.7,5.7,22.7
2019-09-10,12.4,6.7,20.9
2019-09-09,12.3,8.8,15.9
2019-09-08,12.3,11.5,13.8
2019-09-07,11.4,6.7,14.9
2019-09-06,13.3,6.8,20.6
2019-09-05,16.4,11.3,21.7
2019-09-04,17.7,7.9,26.5
2019-09-03,15.8,6.2,25.1
2019-09-02,15.3,8.3,22
2019-09-01,20.5,13.5,25
2019-08-31,23.3,14.4,32.9
2019-08-30,22.5,16.2,30.9
2019-08-29,23.8,16.8,32.4
2019-08-28,23.7,17,32.8
2019-08-27,24,16.1,32.8
2019-08-26,23.4,15.8,32.5
2019-08-25,23.1,15.3,31.6
2019-08-24,20.6,10.6,30
2019-08-23,18.9,9.3,28.3
2019-08-22,17.4,8.3,26.3
2019-08-21,16.5,9.3,24.3
2019-08-20,15.5,12,18.8
2019-08-19,19.7,13.8,25.4
2019-08-18,21.7,16.2,30.6
2019-08-17,18,13.5,23
2019-08-16,17.9,13.3,24.3
2019-08-15,16.8,12.1,23.2
2019-08-14,16.1,10.8,22.9
2019-08-13,15.8,11.3,21.7
2019-08-12,17.1,11.8,23.4
2019-08-11,18.7,12,28.1
2019-08-10,21,13.8,26.7
2019-08-09,21.7,13.2,30.4
