date,TMK,TNK,TXK
2020-01-16,5,-1.1,9.4
2020-01-15,3.7,-1.5,9.2
2020-01-14,2.6,-2.4,7.9
2020-01-13,2.2,-0.6,4.7
2020-01-12,-1.2,-3.9,1.3
2020-01-11,2.6,-3.3,5.2
2020-01-10,6.6,2.6,9.5
2020-01-09,6,2.9,10.2
2020-01-08,1.1,-2.3,4.8
2020-01-07,1.1,-1.7,3.2
2020-01-06,-1.3,-3.2,0.1
2020-01-05,2.9,-1.5,4.7
2020-01-04,3.8,2.4,5.1
2020-01-03,1.7,-1.5,5.3
2020-01-02,-1.9,-3.8,-1
2020-01-01,0,-3.5,3.8
2019-12-31,0.8,-3.2,5.9
2019-12-30,-2.1,-5.2,2.3
2019-12-29,-2.8,-6.1,1.2
2019-12-28,-0.2,-3.6,2.8
2019-12-27,2.8,-0.6,4.6
2019-12-26,2.9,1.6,4.8
2019-12-25,5.1,2.9,6.5
2019-12-24,4.8,2.3,7.3
2019-12-23,5.2,4.4,6.5
2019-12-22,3.8,0.4,7.6
2019-12-21,3,-0.4,6
2019-12-20,3.4,-0.5,8.5
2019-12-19,3.3,0.7,7.5
2019-12-18,4.7,0.2,11.4
2019-12-17,2.2,0.4,4.9
2019-12-16,4.1,0.2,6.5
2019-12-15,8,3.9,13.4
2019-12-14,5.3,1.6,7.9
2019-12-13,0.9,-1.8,3.8
2019-12-12,1.3,-1.7,2.9
2019-12-11,-1.4,-4,1.5
2019-12-10,1.5,-3.1,4.7
2019-12-09,6.1,4.3,8.9
2019-12-08,7.1,4.4,9.1
2019-12-07,6.3,3.6,8.7
2019-12-06,1.1,-1.7,4.6
2019-12-05,-2.4,-4,-1.4
2019-12-04,-1.1,-4.5,3
2019-12-03,0.4,-3.8,5
2019-12-02,0.9,0.1,2.9
2019-12-01,0.5,-0.4,1.4
2019-11-30,1.9,-2.4,5.3
2019-11-29,5.5,0.9,8.4
2019-11-28,8.7,7.2,10.7
2019-11-27,6.3,3.5,9.7
2019-11-26,5.4,3.6,6.7
2019-11-25,2.3,0.8,3.6
2019-11-24,4.2,1.4,8.8
2019-11-23,6.8,2.4,11.3
2019-11-22,3.1,2.6,3.7
2019-11-21,3.7,2.8,5
2019-11-20,3.5,2.4,4.8
2019-11-19,2.6,-1.9,5.7
2019-11-18,4.2,1.4,7.1
2019-11-17,4.9,3.5,7
2019-11-16,4.7,2.4,6.3
2019-11-15,4.5,1.1,6.5
2019-11-14,2,-1.5,5.4
2019-11-13,3.6,0.5,6.6
2019-11-12,3.8,2.3,6.2
2019-11-11,0.4,-1.1,2.4
2019-11-10,0.3,-1.8,2.4
2019-11-09,4.1,-1,7.8
2019-11-08,5.7,4,7.2
2019-11-07,7.1,3.3,10.4
2019-11-06,6.5,3.2,9.7
2019-11-05,8.1,3.9,10.8
2019-11-04,9.7,7.4,12.8
2019-11-03,10.7,9.5,12.1
2019-11-02,13,10.2,17.3
2019-11-01,5.5,1.9,10.3
2019-10-31,4.1,0.7,8.1
2019-10-30,6.1,3.7,8.6
2019-10-29,6.6,5.2,8.5
2019-10-28,7.3,5.8,9.3
2019-10-27,13.6,8.8,19.4
2019-10-26,9.6,5.5,15.4
2019-10-25,13,6.5,17.9
2019-10-24,12.2,9.5,16.6
2019-10-23,11.5,9.6,12.8
2019-10-22,11.7,6.7,17.2
2019-10-21,11.8,7.1,17.3
2019-10-20,10.2,7.7,14.9
2019-10-19,11.7,8.6,14.2
2019-10-18,13.3,9.6,18.1
2019-10-17,11.6,5.6,18.9
2019-10-16,11.2,5.9,15.9
2019-10-15,12.5,8.1,18.1
2019-10-14,14,7.7,22.5
2019-10-13,15.4,9.6,22.7
2019-10-12,14.1,6.8,21.5
2019-10-11,10.8,4.6,17.4
2019-10-10,9.6,7.2,12.8
2019-10-09,10.9,8.6,14.1
2019-10-08,11.6,7.6,15
2019-10-07,8,6.8,11.1
2019-10-06,7.1,3.3,9.7
2019-10-05,9.5,5.5,11.1
2019-10-04,8.4,4.5,11.2
2019-10-03,7.4,3.2,11.7
2019-10-02,11.6,4.8,16.1
2019-10-01,13.4,5.8,20.6
2019-09-30,14.3,7.5,18.7
2019-09-29,15.2,8.3,21.9
2019-09-28,14.3,10.1,18.2
2019-09-27,15.3,12.7,20.2
2019-09-26,14.5,11.3,16.5
2019-09-25,14.3,12.1,18.4
2019-09-24,13,9.4,17.1
2019-09-23,12.8,8.9,14.8
2019-09-22,12.3,5.1,19.9
2019-09-21,11.4,2.5,21
2019-09-20,8.7,2.1,16.6
2019-09-19,8.8,3.2,15.4
2019-09-18,10.1,4.1,16.9
2019-09-17,14.5,7.6,17.9
2019-09-16,16.9,8.1,26.1
2019-09-15,16.1,9.7,26.4
2019-09-14,17.6,11.4,24.4
2019-09-13,17.3,9.9,24.2
2019-09-12,16.8,10.6,23.8
2019-09-11,13.4,6.7,20.4
2019-09-10,10.7,5.2,18
2019-09-09,10.4,5.9,14.1
2019-09-08,10.8,8.3,14.2
2019-09-07,12.8,8.6,16.7
2019-09-06,13.4,9,17.2
2019-09-05,13.7,9.7,16.5
2019-09-04,15.3,6.3,24.6
2019-09-03,13.5,5.1,22.2
2019-09-02,15,7.8,20.2
2019-09-01,20,15.5,26.2
2019-08-31,20.8,13.7,28.7
2019-08-30,20.3,14.6,28.4
2019-08-29,19.9,15.6,25.8
2019-08-28,20.9,15.2,29.6
2019-08-27,20.9,14.7,28.8
2019-08-26,20.7,14.8,27.5
2019-08-25,20.2,14.2,28.3
2019-08-24,19.8,13.2,26.8
2019-08-23,17.1,9.1,24.3
2019-08-22,16.1,9.9,22.9
2019-08-21,14.8,10.1,20.6
2019-08-20,15.9,12.5,18.5
2019-08-19,18.6,16.3,23.1
2019-08-18,22,14.7,31.5
2019-08-17,17.1,10.3,24
2019-08-16,16.9,10.6,23
2019-08-15,14.5,7.5,21.8
2019-08-14,14.1,7,20.7
2019-08-13,15.1,9.4,19.2
2019-08-12,14.9,13.3,17.1
2019-08-11,19.8,14,26.8
2019-08-10,19.9,15.9,22.7
2019-08-09,21.6,11.5,31.2
2019-08-08,18.4,13,25.2
2019-08-07,17.4,15.8,19.4
2019-08-06,20.7,16.4,27.9
2019-08-05,19.3,13.1,26.8
2019-08-04,18.4,11.1,26
2019-08-03,16.6,12.3,20.7
2019-08-02,18.7,12.7,25
2019-08-01,18,12.2,24.8
2019-07-31,18.2,15.5,22.8
2019-07-30,20.5,13.9,27.9
2019-07-29,18.2,16.1,21.1
2019-07-28,18.8,17,22.7
2019-07-27,22.2,17.5,27.9
2019-07-26,26.1,16,35.4
2019-07-25,26.3,16,35.3
2019-07-24,25.2,14.9,35.6
2019-07-23,22.8,12.2,32.3
2019-07-22,21,12.4,29.2
2019-07-21,20.9,14.6,27.2
2019-07-20,20.8,12.3,30.2
2019-07-19,20.3,14.5,26.2
2019-07-18,18.4,9.2,26.6
2019-07-17,17.7,8.7,25.8
2019-07-16,16.4,10,23.6
2019-07-15,16.7,11.9,24
2019-07-14,16.5,12.6,22.3
2019-07-13,15.4,12.9,19.9
2019-07-12,16.1,12.9,20.1
2019-07-11,13.8,8.9,19.5
2019-07-10,14.3,5,22.1
2019-07-09,14,7.5,19.7
2019-07-08,15.9,11,20.8
2019-07-07,17.6,13.3,23.1
2019-07-06,22,12.9,29.4
2019-07-05,18.9,9.4,27.5
2019-07-04,18,9,26.1
2019-07-03,17.9,10.6,24.7
2019-07-02,20.2,13,25.5
2019-07-01,22.8,17.1,31
2019-06-30,23.1,10.2,33.1
2019-06-29,21,10.5,29.7
2019-06-28,19.9,11.3,27.7
2019-06-27,24.1,12.5,31
2019-06-26,25.6,16.4,35.1
2019-06-25,24.1,18.2,31.4
2019-06-24,22.1,16,27.2
2019-06-23,19.1,13.6,24.5
2019-06-22,17.3,14.2,23.4
2019-06-21,18.9,12.4,24.6
2019-06-20,19,13.6,24.4
2019-06-19,22.3,15.7,29.6
2019-06-18,20.6,12.5,28.2
2019-06-17,17.7,9.5,25.3
2019-06-16,15.8,10.3,19.2
2019-06-15,20.8,15.5,24.6
2019-06-14,20.9,9.3,29.9
2019-06-13,18,11.1,25.2
2019-06-12,14.6,12.7,19.3
2019-06-11,16.9,13.1,21.2
2019-06-10,16,11.9,22.7
2019-06-09,16.6,7.9,24
2019-06-08,15.7,8.6,22.1
2019-06-07,16.9,6.9,26.8
2019-06-06,15.4,8.2,19.6
2019-06-05,22.2,12,29.9
2019-06-04,20.7,11.8,28.4
2019-06-03,20.1,11.8,29.8
2019-06-02,20,9.9,27.9
2019-06-01,17.9,9,26
2019-05-31,16.6,10.6,22.2
2019-05-30,12.9,3.2,20.4
2019-05-29,11.1,5.1,15.2
2019-05-28,13.2,9.4,15.7
2019-05-27,15.8,8.9,21
2019-05-26,15.2,7.2,21.8
2019-05-25,14,7.8,21.9
2019-05-24,14.2,4.8,22
2019-05-23,11.7,2.8,19.4
2019-05-22,11.3,5.2,14.8
2019-05-21,11.6,10.9,12.2
2019-05-20,13.2,10.9,16.8
2019-05-19,15,8.2,23.9
2019-05-18,13.8,5.8,21.1
2019-05-17,12.5,6,20
2019-05-16,8.2,4.4,12.1
2019-05-15,7.4,0.2,12.5
2019-05-14,7,-0.6,13.5
2019-05-13,10,2.7,15.4
2019-05-12,8,4.6,12
2019-05-11,11.4,7.2,17.7
2019-05-10,11.2,7,14.8
2019-05-09,10.7,6.3,14.7
2019-05-08,9.7,5.2,13.7
2019-05-07,6.7,-1.9,12.6
2019-05-06,4.2,-2.2,9.1
2019-05-05,3.8,-1.2,7.6
2019-05-04,5.1,1.3,10.2
2019-05-03,9.6,6.1,12.5
2019-05-02,11.4,3.5,19.9
2019-05-01,9.9,0.1,19
2019-04-30,9.1,2.9,14.3
2019-04-29,6.9,3.1,10.6
2019-04-28,5.9,2.1,10.5
2019-04-27,8.6,4.6,14.4
2019-04-26,8.5,7,11.1
2019-04-25,15.3,3.3,26.3
