date,TMK,TNK,TXK
2020-01-16,6.2,-0.3,12.1
2020-01-15,8.5,3.7,12.6
2020-01-14,7,1.4,9.6
2020-01-13,3.5,0.1,5
2020-01-12,1.5,-3.3,4.1
2020-01-11,2.2,-2.3,5.7
2020-01-10,7.7,3.5,9.7
2020-01-09,7.8,5.3,10
2020-01-08,5.1,1.5,6.2
2020-01-07,2,-2.1,4.7
2020-01-06,2,-2.8,5.5
2020-01-05,1.4,-1.9,4.5
2020-01-04,3.1,-0.8,5
2020-01-03,4.7,1.8,7.8
2020-01-02,-1,-7.2,7.4
2020-01-01,-1.8,-5.5,5.5
2019-12-31,2.4,-2.5,5.8
2019-12-30,2.4,-2.9,9.9
2019-12-29,-2.9,-7.2,4.3
2019-12-28,-0.9,-5.1,1
2019-12-27,1,-3,4.5
2019-12-26,3.2,0.4,5
2019-12-25,5.3,3.5,6.9
2019-12-24,5.1,1,7.4
2019-12-23,5.9,3,8
2019-12-22,5,-1.3,7.4
2019-12-21,4.2,-1.4,8.6
2019-12-20,5.8,-0.5,12.2
2019-12-19,2.8,-1.5,11.2
2019-12-18,6.5,-0.4,11.4
2019-12-17,9.5,2.1,16.3
2019-12-16,6.4,1.8,11.2
2019-12-15,5.5,0.5,10.3
2019-12-14,4,1.9,6.1
2019-12-13,1.1,-2.3,3.3
2019-12-12,0.5,-1.9,2.7
2019-12-11,2.1,0.1,3.8
2019-12-10,1.6,-3.7,5
2019-12-09,5.7,3.5,8.4
2019-12-08,7.9,5.3,9.7
2019-12-07,6.6,4.1,8.3
2019-12-06,1.5,-3.6,5.5
2019-12-05,-1.3,-5.1,5.3
2019-12-04,0.7,-3.4,7.6
2019-12-03,3.1,1.2,6.6
2019-12-02,1.6,-1.8,3.7
2019-12-01,-0.9,-4.7,2.6
2019-11-30,2.6,-1.4,5.2
2019-11-29,5.1,1.7,8.5
2019-11-28,9,7,10.7
2019-11-27,7.5,2.7,11.2
2019-11-26,4.9,-0.1,9.8
2019-11-25,1.1,-0.4,3.1
2019-11-24,0.3,-2.8,4.3
2019-11-23,1.6,-2.8,8.4
2019-11-22,2.2,-1.9,6.2
2019-11-21,4.2,3,5.1
2019-11-20,2.7,0.7,4.2
2019-11-19,4,0.7,5.9
2019-11-18,4.3,2.9,5.7
2019-11-17,1.7,-1.7,3.8
2019-11-16,3.3,-1.6,8.2
2019-11-15,2.9,-1,6.3
2019-11-14,2.4,-2.4,7.8
2019-11-13,2.8,-1.6,7
2019-11-12,3.4,-0.6,7.2
2019-11-11,0.3,-4.1,4.6
2019-11-10,1.8,-2.9,7.9
2019-11-09,3.9,-1.7,6.4
2019-11-08,5.1,1.5,7.2
2019-11-07,7.3,3.6,10.9
2019-11-06,6.1,1,10.6
2019-11-05,7,0.8,11
2019-11-04,9.2,3.2,12.7
2019-11-03,11.3,7.4,15
2019-11-02,12.2,6.8,16.4
