date,TMK,TNK,TXK
1985-09-30,12.1,8,20.7
1985-09-29,12.3,5.1,20.5
1985-09-28,12.9,6.5,21.2
1985-09-27,13.8,9,23
1985-09-26,13,6,20
1985-09-25,12.3,7,19.8
1985-09-24,13.8,6.7,22
1985-09-23,14,9.2,22.2
1985-09-22,17.2,13,25
1985-09-21,18.3,10,25
1985-09-20,15.3,8,25.3
1985-09-19,15.5,10.2,26
1985-09-18,15.6,8.9,23.2
1985-09-17,14.8,4,17.5
1985-09-16,8.4,6.3,13.5
1985-09-15,9.9,8.2,12.2
1985-09-14,11.4,10.4,16
1985-09-13,15.8,8,22.5
1985-09-12,13.4,5.5,22.1
1985-09-11,11.6,5,21.4
1985-09-10,7.4,-0.5,15
1985-09-09,7.2,5,11.7
1985-09-08,10.6,4.9,14.8
1985-09-07,8,2,14.8
1985-09-06,10,8.4,15.8
1985-09-05,14,6.4,16.5
1985-09-04,11.7,10.8,14
1985-09-03,13,10.9,19
1985-09-02,13.8,4.9,19.4
1985-09-01,16,13.9,22.5
1985-08-31,17.2,9.9,26.2
1985-08-30,16.6,10.8,24
1985-08-29,13.1,3.9,20.1
1985-08-28,11.7,3.2,18.9
1985-08-27,9.8,7.5,16
1985-08-26,10.8,7.8,13.5
1985-08-25,11.2,10.2,16
1985-08-24,17.9,11,26.6
1985-08-23,16.8,14.8,22.8
1985-08-22,20.8,10,28
1985-08-21,16.2,7.4,24.7
1985-08-20,13.4,11,19.9
1985-08-19,17,10,23.4
1985-08-18,13.2,8.8,17.9
1985-08-17,11.8,9.4,17.3
1985-08-16,16.7,12.9,22.5
1985-08-15,19.6,14,28
1985-08-14,23,16.9,32.8
1985-08-13,19.7,11.9,27.1
1985-08-12,18.7,13.4,26.8
1985-08-11,17.2,6.3,24.2
1985-08-10,13.4,10,22.8
1985-08-09,17.4,6.8,25
1985-08-08,11.6,8.5,16.4
1985-08-07,10.2,7.5,13
1985-08-06,9.5,8.8,15.6
1985-08-05,17.8,10,26.7
1985-08-04,13.9,10,17.5
1985-08-03,15.7,7.2,21.2
1985-08-02,13.8,12,19.9
1985-08-01,13.9,9.9,19
1985-07-31,14.2,13,18
1985-07-30,16,12,21.2
1985-07-29,14.8,12.6,23
1985-07-28,23.2,12.7,31
1985-07-27,16.5,14,27
1985-07-26,26.4,15.6,32.4
