date,TMK,TNK,TXK
2019-06-25,23.4,13.3,32.1
2019-06-24,20.9,12.6,28.3
2019-06-23,19.9,12.5,27.3
2019-06-22,18.1,10.9,23.6
2019-06-21,17,11.7,22.8
2019-06-20,18.3,13.4,24.6
2019-06-19,20.4,14.2,30.5
2019-06-18,20.7,12.2,28.3
2019-06-17,18.6,11.2,25.8
2019-06-16,15.7,11.4,19.6
2019-06-15,19.2,11.8,24
2019-06-14,19,8.8,27.4
2019-06-13,16,9.1,22.5
2019-06-12,15.6,10.2,19
2019-06-11,16.7,12.4,21.2
2019-06-10,18.4,11.7,25.2
2019-06-09,16.1,7.5,22.4
2019-06-08,13.8,7.4,18.8
2019-06-07,15.5,6.8,22.8
2019-06-06,15.2,9.3,20.5
2019-06-05,22.9,16.2,30.3
2019-06-04,19.5,14,26.3
2019-06-03,18.5,12.4,28.6
2019-06-02,20.4,11.1,29.1
2019-06-01,18.1,10,25.5
2019-05-31,16.8,11.1,23.3
2019-05-30,13.3,3.9,17.9
2019-05-29,10.1,4.6,16
2019-05-28,11.2,8.2,16.8
2019-05-27,14.7,9.3,19.2
2019-05-26,13.8,4.9,19.7
2019-05-25,11.2,5.5,16.8
2019-05-24,14.9,7,22.4
2019-05-23,12.6,4.1,19.9
2019-05-22,11.4,6,15.8
2019-05-21,13.9,12.6,15.2
2019-05-20,15.7,9.3,22.3
2019-05-19,15.9,7.6,23.1
2019-05-18,13.5,4.6,21.9
2019-05-17,9.9,5.7,14.7
2019-05-16,7.3,6.5,8.7
2019-05-15,8.3,0.2,13.6
2019-05-14,8.4,1.9,14
2019-05-13,8.5,1.3,15
2019-05-12,8,3.3,13.7
2019-05-11,7.4,4.6,9.3
2019-05-10,9.6,4.8,14.4
2019-05-09,11.1,8,15.9
2019-05-08,7.9,0.3,12.3
2019-05-07,6.8,1.8,11.2
2019-05-06,5.6,-0.5,10.2
2019-05-05,4.5,-2.2,11.1
2019-05-04,4.4,0.9,9.4
2019-05-03,7.4,4.6,11.1
2019-05-02,9.7,4.4,15.5
2019-05-01,11.9,5.1,18.5
2019-04-30,10.6,4.8,17.1
2019-04-29,7.1,2.3,10.4
2019-04-28,7.9,3.4,12.7
2019-04-27,8.7,4.4,15
2019-04-26,10.3,6.4,13.9
2019-04-25,14.6,3.9,22.1
2019-04-24,16.3,8.8,24.3
2019-04-23,13.4,4,19.3
2019-04-22,13.3,5.4,21.3
2019-04-21,12.1,2.9,22
2019-04-20,13.4,4.6,21.7
2019-04-19,12.7,4,21.7
2019-04-18,11.5,3.2,19.6
2019-04-17,10.5,3.3,18.6
2019-04-16,8.1,-0.7,16.2
2019-04-15,7.1,1.3,14.7
2019-04-14,2.1,-2,5.1
2019-04-13,1.2,-0.3,4.2
2019-04-12,1.9,0.2,3.3
2019-04-11,3.6,-1.6,7.3
2019-04-10,4.5,-1,9.5
2019-04-09,7.3,2.7,11.8
2019-04-08,12,5.4,18.2
2019-04-07,11.7,4.9,18.7
2019-04-06,11,6.2,18
2019-04-05,6.2,5,8
2019-04-04,6,2.7,8.6
2019-04-03,9.5,3.9,13.9
2019-04-02,8,-1.3,16.4
2019-04-01,4.9,-2.7,12.4
2019-03-31,6.2,0.8,10.8
2019-03-30,9.3,0.7,19
2019-03-29,9.1,3,16.7
2019-03-28,8,3.5,12.8
2019-03-27,6.5,0.1,11.5
2019-03-26,5,2.4,7.8
2019-03-25,4.3,1.2,7.8
2019-03-24,5.9,0,11.7
2019-03-23,8,2.8,12.9
2019-03-22,9.8,2.5,19.3
2019-03-21,8.3,1.1,16.8
2019-03-20,5.2,-3.1,12.3
2019-03-19,3.1,-1.3,8.7
2019-03-18,3.5,0.3,8.3
2019-03-17,6.1,2.1,8.5
2019-03-16,7.2,3.8,9.9
2019-03-15,6.8,5.1,11
2019-03-14,5,3.8,6.8
2019-03-13,5,3.1,7.9
2019-03-12,4.9,0.7,7.9
2019-03-11,2.1,0.4,3.6
2019-03-10,4.7,0.6,9.3
2019-03-09,6.8,3.8,12.8
2019-03-08,5.9,1.9,8.9
2019-03-07,9.4,6.2,12.6
2019-03-06,6.5,-1.2,12.1
2019-03-05,4.2,-0.1,7.8
2019-03-04,8.1,4.5,11.6
2019-03-03,8.8,7.5,9.7
2019-03-02,4.5,2.3,7.8
2019-03-01,6.3,2.8,9.6
2019-02-28,8.5,0.9,14.3
2019-02-27,5.6,-3,17.7
2019-02-26,5.7,-1.6,17.1
2019-02-25,4.9,-2.1,16.3
2019-02-24,2.8,-3.6,13.6
2019-02-23,0.9,-3.8,8.2
2019-02-22,5.7,-0.3,8.3
2019-02-21,7.1,2.8,11
2019-02-20,5.1,1.6,9.3
2019-02-19,6.3,1.9,10
2019-02-18,4.6,-1.3,15.8
2019-02-17,4.4,-1.6,14.2
2019-02-16,4.7,-0.6,14.4
2019-02-15,3.4,-2,13
2019-02-14,2.7,-0.9,11.6
2019-02-13,4,0,7.7
2019-02-12,3,1.2,5.9
2019-02-11,3.6,2,7.2
2019-02-10,5.6,2,8.3
2019-02-09,6.6,4.6,8.7
2019-02-08,4.4,-0.4,6.9
2019-02-07,1.4,-1.2,3.9
2019-02-06,1.2,-3.2,5.6
2019-02-05,1.5,-2.1,3.6
2019-02-04,0.5,-4.1,3.1
2019-02-03,0.1,-3,1.9
2019-02-02,0.2,-0.5,1.4
2019-02-01,-0.7,-4.6,3.9
2019-01-31,-0.9,-5.3,2.6
2019-01-30,-1.8,-4.8,0.3
2019-01-29,-0.1,-4.6,2.9
2019-01-28,1.3,-0.2,2.5
2019-01-27,4,1.8,6.1
2019-01-26,3.1,-0.1,5.9
2019-01-25,-4.3,-6,-0.1
2019-01-24,-6,-8.1,-4.4
2019-01-23,-5.9,-9.4,-3.9
2019-01-22,-6.5,-10.6,-3.4
2019-01-21,-6.8,-10.2,-0.9
2019-01-20,-5.7,-8.6,0.6
