date,TMK,TNK,TXK
1973-02-28,0.4,-4.5,2.5
1973-02-27,-3.2,-5.5,0
1973-02-26,-1.4,-3,0
1973-02-25,0,-1.5,2.5
1973-02-24,0.1,-0.5,2
1973-02-23,1.9,0,4
1973-02-22,3.7,2.2,7
1973-02-21,6.5,-0.2,7.5
1973-02-20,1.1,-1,5
1973-02-19,1.1,0,3.8
1973-02-18,0.9,-1,5.2
1973-02-17,1,-0.8,4.2
1973-02-16,0.4,-2.5,1.4
1973-02-15,1.5,-4.9,8.2
1973-02-14,2,0,6.8
1973-02-13,3.2,1.4,6.5
1973-02-12,4,1,5.5
1973-02-11,2.2,1,5
1973-02-10,3.3,1.5,7
1973-02-09,6,4.5,9
1973-02-08,6,5.5,8
1973-02-07,6.9,0.4,8.5
1973-02-06,2,0,5.5
1973-02-05,1.6,-1.5,6.5
1973-02-04,2.5,0,8
1973-02-03,0.5,-1,2.5
1973-02-02,1.9,0.5,4.5
1973-02-01,3,2,4
1973-01-31,3.8,3,5.5
1973-01-30,4.5,4,6
1973-01-29,4.1,1.5,5.5
1973-01-28,2.1,1.6,4
1973-01-27,2.5,0.2,4.2
1973-01-26,-0.4,-3.2,1.5
1973-01-25,-2.9,-7,1
1973-01-24,-2,-3.5,2
1973-01-23,0.5,-1,4.5
1973-01-22,1.7,0,4
1973-01-21,1.3,0,5.5
1973-01-20,0.8,-2.5,3.5
1973-01-19,-1.4,-2,0
1973-01-18,-0.6,-0.8,1
1973-01-17,0.5,-0.5,3
1973-01-16,2.8,1,5.2
1973-01-15,2.7,0.5,4.5
1973-01-14,1.9,-3,5
1973-01-13,-0.9,-2.8,3
1973-01-12,1.9,1.2,3
1973-01-11,2.6,1.5,3.4
1973-01-10,2.1,0.2,3.5
1973-01-09,1.2,0,2.5
1973-01-08,0.5,0,1.5
1973-01-07,0.7,-1,2.5
1973-01-06,0.4,-2,1.2
1973-01-05,-0.2,-2.2,1
1973-01-04,0.2,-1.2,2
1973-01-03,-3.3,-10,0
1973-01-02,-6,-9,-1
1973-01-01,-5.6,-11,1
1972-12-31,-5.9,-12,0.6
1972-12-30,-3.3,-5.8,3
1972-12-29,-3.3,-11.2,1.6
1972-12-28,-2.9,-7,2.6
1972-12-27,-4.1,-7.5,0.2
1972-12-26,-7.6,-11.5,-4
1972-12-25,-6.2,-9.5,-1.5
1972-12-24,-4.6,-8,-0.5
1972-12-23,-6.1,-9.8,-1
1972-12-22,-4.5,-9,-1
1972-12-21,-4.8,-9.5,-1
1972-12-20,-1.1,-2.8,3.5
1972-12-19,2,0,3
1972-12-18,0,-3.8,1.4
1972-12-17,-1,-3,4.5
1972-12-16,0.4,-3.5,5
1972-12-15,2.4,-1,7
1972-12-14,7,3.5,10.2
1972-12-13,3.7,-2,8.5
1972-12-12,1.3,-1.2,7.5
1972-12-11,2.4,0,6.5
1972-12-10,3.6,1.2,8.2
1972-12-09,5.6,3,8
1972-12-08,5.8,4.8,10.5
1972-12-07,9.2,5.6,11.6
1972-12-06,8,4.5,11.5
1972-12-05,6,1.2,9.5
1972-12-04,4.8,2.6,8.6
1972-12-03,6.6,1.5,9.8
1972-12-02,4.3,0.8,9.2
1972-12-01,5.2,2.5,9.5
1972-11-30,3.6,-0.5,7.5
1972-11-29,3.5,1.2,6.5
1972-11-28,2.3,0.5,6
1972-11-27,1.5,-2,2.5
1972-11-26,-1.3,-5,2
1972-11-25,0.7,-0.5,3
1972-11-24,1.6,-1.2,4.2
1972-11-23,5,3.8,7.2
1972-11-22,6.6,3.5,9.5
1972-11-21,6,4.6,9
1972-11-20,5.5,0.4,7.5
1972-11-19,1,-1.5,4.2
1972-11-18,1.6,-1.2,3
1972-11-17,0.8,-1.5,4
1972-11-16,1.3,0,3.8
1972-11-15,2.8,0.5,6.5
1972-11-14,5.6,3,7.5
1972-11-13,6.8,3.2,12.2
1972-11-12,4.3,2.5,8
1972-11-11,7.6,5.2,11
1972-11-10,10.8,7,13.8
1972-11-09,9.9,7.6,12.5
1972-11-08,12.3,9.5,15
1972-11-07,10.8,7,13.2
1972-11-06,10.6,8.4,11.8
1972-11-05,8.9,7,10.5
1972-11-04,6.8,3,9.4
1972-11-03,8.1,4.2,13.8
1972-11-02,8.2,3.8,12
1972-11-01,6.2,3.5,12.5
1972-10-31,7.2,4,11.8
1972-10-30,6.1,2.5,8
1972-10-29,8.9,6.5,12.8
1972-10-28,10.7,7,13.5
1972-10-27,10.4,7.2,16.5
1972-10-26,8.3,0.5,14.8
1972-10-25,6.9,4.5,13
1972-10-24,9.8,8,12
1972-10-23,9.2,6,10.5
1972-10-22,5.6,-1,7.5
1972-10-21,3.2,1.5,7
1972-10-20,5,0.2,9.5
1972-10-19,2.3,-3.8,8.5
1972-10-18,5.1,1,10
1972-10-17,7,0.5,11.5
1972-10-16,8.3,4.5,11
1972-10-15,7.6,4,9.2
1972-10-14,6.8,1.5,10.2
1972-10-13,6.6,2,11.5
1972-10-12,7.8,2,9.5
1972-10-11,7.6,-0.4,17
1972-10-10,7.6,-0.5,17.5
1972-10-09,4.5,3.2,9
1972-10-08,8.2,0.2,18.2
1972-10-07,7.6,1,18
1972-10-06,7.1,1,17.5
1972-10-05,4.2,-1.5,15.5
1972-10-04,3,-3.5,12.5
1972-10-03,4.1,-1.5,11.5
1972-10-02,7.7,0.5,12.6
1972-10-01,8,2.2,13
1972-09-30,8.9,6.4,11.5
1972-09-29,8.4,6.5,12.2
1972-09-28,9.7,6,12
1972-09-27,10.3,8,13.4
1972-09-26,10.3,7.5,13
1972-09-25,9,5.5,11.5
1972-09-24,8.5,6.5,14
1972-09-23,10.5,7.5,15
1972-09-22,11.8,4.6,16.8
1972-09-21,11.1,4.6,19.2
1972-09-20,8.9,1.5,17.5
1972-09-19,9.3,1,17.6
1972-09-18,8.8,4.8,12.5
1972-09-17,7.9,4.4,13.2
1972-09-16,10,3,16
1972-09-15,8.7,4.8,14.5
1972-09-14,10,7.5,14.2
1972-09-13,12.4,7.2,18
1972-09-12,12,6,16.5
1972-09-11,10.7,8.6,15.8
1972-09-10,16.6,13,26
1972-09-09,18.5,11.4,26.5
1972-09-08,17.3,11.6,23.5
1972-09-07,18.1,9.6,27
1972-09-06,15.3,7.5,23
1972-09-05,13.7,6.2,21
1972-09-04,12.6,5,20.8
1972-09-03,12.8,10,16.8
1972-09-02,11.9,10.2,17
1972-09-01,12.6,10.2,16.6
1972-08-31,14.4,7,19
1972-08-30,13.4,5.2,21
1972-08-29,13.8,8.5,21.5
1972-08-28,13.8,8,21
1972-08-27,14.5,12.6,19.4
1972-08-26,14.6,12,16.8
1972-08-25,14.8,9.5,17.5
1972-08-24,14,9.5,16.6
1972-08-23,15.1,11.5,19.8
1972-08-22,14.9,11.5,19.2
1972-08-21,15,11.4,18.6
1972-08-20,14.9,8.5,19
1972-08-19,12.9,7.5,17.5
1972-08-18,13.4,11,17.4
1972-08-17,15.5,13.6,20.5
1972-08-16,15.2,14.2,19
1972-08-15,19.5,18,24
1972-08-14,23.8,18.5,28.2
1972-08-13,23.6,12.4,31.8
1972-08-12,18.2,11,23.2
1972-08-11,17.7,14,26.2
1972-08-10,21.4,16,25.5
1972-08-09,21,18,26
1972-08-08,21.1,14.2,27.8
1972-08-07,21.9,11.9,30
1972-08-06,19,10.8,26
1972-08-05,17.5,12,24
1972-08-04,16.3,12.6,20
1972-08-03,16.1,11,20.2
1972-08-02,17.2,12.5,23.5
1972-08-01,18.7,10.5,24.2
1972-07-31,15.9,12.6,21.5
1972-07-30,14.8,14.2,16.5
1972-07-29,16,14.2,18
1972-07-28,17.4,12.6,21.8
1972-07-27,16.8,14,22
1972-07-26,17.5,12.4,22.2
1972-07-25,20.1,17.2,24
1972-07-24,23.6,15.6,29.8
1972-07-23,22.5,16.4,26.8
1972-07-22,22.3,18.2,32.4
1972-07-21,23.8,17.2,32
1972-07-20,25,15.2,33
1972-07-19,25,17.5,32.5
1972-07-18,24.4,16.4,32.8
1972-07-17,23.1,17.6,30.4
1972-07-16,22.3,16.2,26.6
1972-07-15,19.2,9.2,23.5
1972-07-14,16.4,8.2,22
1972-07-13,15.8,13,21.5
1972-07-12,16.1,11.4,21.2
1972-07-11,14.9,9.6,18.5
1972-07-10,14.6,11.5,25
1972-07-09,25.3,17,32.5
1972-07-08,19,12.6,23.8
1972-07-07,19.2,16,24
1972-07-06,21.4,10.4,27.2
1972-07-05,20.5,10.6,26.4
1972-07-04,16.8,12.4,21.6
1972-07-03,14.6,10.2,16.4
1972-07-02,16.2,8.2,20.2
1972-07-01,13.9,10.2,16.8
1972-06-30,15.4,13.2,20.5
1972-06-29,17.2,14.5,20.2
1972-06-28,21.4,15.2,27.8
1972-06-27,19.8,7.5,25.8
1972-06-26,17.7,6.6,24.5
1972-06-25,16.1,7,21.4
1972-06-24,13.6,10.5,19.6
1972-06-23,14.9,10.4,20.5
1972-06-22,19.1,10.4,22.8
1972-06-21,16.5,10.6,22.5
1972-06-20,14.8,10.6,18.4
1972-06-19,16.8,14.5,22.8
1972-06-18,18.6,12.8,23.2
1972-06-17,14.9,11.5,19
1972-06-16,14.4,11,17
1972-06-15,14.6,11,19.6
1972-06-14,14.2,8.4,19.2
1972-06-13,13.9,9,18
1972-06-12,11.8,10.5,15
1972-06-11,16.2,13.6,21
1972-06-10,15.1,9.6,20.2
1972-06-09,16.4,7,20.5
1972-06-08,14.9,13.2,19
1972-06-07,17.6,10.2,23
1972-06-06,22.2,12.2,29
1972-06-05,23,11.2,29.5
1972-06-04,20.9,9.2,27
1972-06-03,15.7,5,22
1972-06-02,11.7,6,16.6
1972-06-01,10.2,6.4,17.5
1972-05-31,13.1,11.6,17
1972-05-30,13.4,11.6,17.8
1972-05-29,14.1,9.2,18.6
1972-05-28,11.4,9.2,14.2
1972-05-27,12.2,10.2,15.2
1972-05-26,14.3,12.6,19.2
1972-05-25,15.1,12.8,20
1972-05-24,16.8,11.5,19.6
1972-05-23,17.8,9,25.2
1972-05-22,16.5,9.8,22.4
1972-05-21,11.1,6,16.2
1972-05-20,12.4,8.8,16.6
1972-05-19,11.4,8.2,14.5
1972-05-18,12.2,7.8,17.6
1972-05-17,9.7,5.2,15.5
1972-05-16,6.6,4.5,8
1972-05-15,8.4,5,10.6
1972-05-14,7.3,4.6,9.5
1972-05-13,7.6,3.6,12.4
1972-05-12,9.2,5,15
1972-05-11,9.9,5.5,12
1972-05-10,11.7,7.4,16.5
1972-05-09,14.1,9.6,22
1972-05-08,15.2,7,21.2
1972-05-07,14.1,5.2,21.5
1972-05-06,14.5,5,21.2
1972-05-05,11.4,5.2,19.4
1972-05-04,10.2,7.2,13.4
1972-05-03,15.3,8.5,21
1972-05-02,15.3,4.6,23
1972-05-01,16.1,5.8,22.8
1972-04-30,15.1,9.5,22.5
1972-04-29,10.1,3,15
1972-04-28,5.8,1.5,9.6
1972-04-27,6.3,3.5,11.4
1972-04-26,5.3,-1.6,8
1972-04-25,2.2,-3,5.6
1972-04-24,4.7,0.5,10.6
1972-04-23,10.6,3.6,15.2
1972-04-22,9.8,6.8,14.5
1972-04-21,9.3,6.5,12.4
1972-04-20,7.4,2.2,9.6
1972-04-19,5.8,3.5,7.5
1972-04-18,7.6,3.6,12.2
1972-04-17,7.5,4.4,11
1972-04-16,7.2,5,9.4
1972-04-15,8.3,3.2,15.6
1972-04-14,8.5,2.2,16.2
1972-04-13,7.4,5,12
