date,TMK,TNK,TXK
2020-01-16,8.7,6.5,11.4
2020-01-15,8.7,6.2,10.9
2020-01-14,7.1,4.7,9.2
2020-01-13,3.8,2.9,5.5
2020-01-12,1.7,-0.1,2.9
2020-01-11,2.3,0.2,4.8
2020-01-10,5.5,3.4,6.9
2020-01-09,8.1,6,9.2
2020-01-08,4.6,2,7.2
2020-01-07,2.6,0.4,5.2
2020-01-06,0.6,-1.9,4
2020-01-05,3.3,1.3,5.2
2020-01-04,2.4,1,3.9
2020-01-03,4.6,2.7,6.7
2020-01-02,-0.2,-3.9,2.8
2020-01-01,-1.1,-4.6,1.3
2019-12-31,2.2,-0.2,5.4
2019-12-30,1.9,-2,7.4
2019-12-29,-1.2,-3,1.5
2019-12-28,-0.8,-2.1,0.7
2019-12-27,3,0.4,4.5
2019-12-26,2.4,0.8,4.5
2019-12-25,4.9,1.6,6.6
2019-12-24,5.4,3.7,7.6
2019-12-23,5.2,4.1,6.5
2019-12-22,5.6,3.9,6.8
2019-12-21,5.3,3.8,7.6
2019-12-20,6.6,1.7,11
2019-12-19,6.7,2.7,10.5
2019-12-18,8.2,6.4,9.8
2019-12-17,11.9,8.4,13.8
2019-12-16,8.6,6,11.4
2019-12-15,6.7,5.1,9
2019-12-14,4.5,1.8,6.3
2019-12-13,2,-0.6,3.8
2019-12-12,1.6,-0.2,2.4
2019-12-11,1.3,0.1,2.3
2019-12-10,1.3,0.1,4.1
2019-12-09,4.4,2.4,5.9
2019-12-08,6.9,5.7,8.2
2019-12-07,6.1,4.3,7.1
2019-12-06,0.1,-3.4,4.3
2019-12-05,-0.8,-2.4,2.4
2019-12-04,0.4,-1.7,2.4
2019-12-03,2.3,0.4,4.4
2019-12-02,0.2,-2.1,3
2019-12-01,-0.3,-1.2,0
2019-11-30,1.4,-0.4,4.3
2019-11-29,4.3,0.8,7.1
2019-11-28,7.6,7,8.6
2019-11-27,8.4,6,10.2
2019-11-26,7.4,5.6,9
2019-11-25,5,3.4,6.2
2019-11-24,5.2,3.4,8.7
2019-11-23,4,1.1,6.8
2019-11-22,2.3,-0.3,5
2019-11-21,0.7,-2.5,3.4
2019-11-20,0.5,-0.9,2.6
2019-11-19,2.3,-0.2,5.2
2019-11-18,1.6,0.1,3
2019-11-17,2.6,0.6,3.6
2019-11-16,2.7,0.2,6.6
2019-11-15,2.2,0.5,5.6
2019-11-14,2.9,1.1,5.7
2019-11-13,1.9,0.7,3
2019-11-12,3,1.3,5.2
2019-11-11,1.4,-0.3,3.1
2019-11-10,1.5,-2.1,3.1
2019-11-09,3.4,0.9,5.1
2019-11-08,4.4,3.3,5.7
2019-11-07,5.9,3.9,7.5
2019-11-06,7,5.7,9.4
2019-11-05,6.9,5.4,9.9
2019-11-04,8.1,6.8,10
2019-11-03,9.6,7.9,11.6
2019-11-02,11.4,8.2,13.4
2019-11-01,7.2,3.1,11
2019-10-31,2.8,-1.2,6.2
2019-10-30,2.9,0.3,5.7
