date,TMK,TNK,TXK
2020-01-16,4.8,-1.7,10.1
2020-01-15,5.3,0.4,9.5
2020-01-14,4.2,-0.7,7.6
2020-01-13,2.1,1.2,3
2020-01-12,0.5,-1.3,2
2020-01-11,1.7,-0.9,3.6
2020-01-10,6.1,2.8,7.2
2020-01-09,6.3,4.2,8
2020-01-08,2.9,2.1,4.3
2020-01-07,0.7,-1.4,2.9
2020-01-06,0.4,-2.3,2.9
2020-01-05,0.2,-2.6,2
2020-01-04,1.6,-1.5,5.5
2020-01-03,3,0.2,5.8
2020-01-02,-2.1,-6.5,4.2
2020-01-01,-2.7,-5.4,3.2
2019-12-31,1.1,-2.3,4.7
2019-12-30,1.7,-1.4,4.7
2019-12-29,-3.2,-6,1.3
2019-12-28,-1.2,-4.6,0
2019-12-27,0.5,-0.9,2.8
2019-12-26,1.5,-0.2,3.4
2019-12-25,4.2,2,6
2019-12-24,4,1.2,5.4
2019-12-23,4.5,1.8,6.3
2019-12-22,4.7,2.9,5.8
2019-12-21,4.7,1.2,6.8
2019-12-20,3.9,-1.6,8.3
2019-12-19,2,-0.8,8.4
2019-12-18,4.5,0.3,8.6
2019-12-17,3,0.6,7.5
2019-12-16,4.8,0.3,9.4
2019-12-15,4.8,1.3,8.2
2019-12-14,2.6,0.8,4.1
2019-12-13,0.6,-0.8,2.1
2019-12-12,0.7,-0.2,1.6
2019-12-11,0.2,-0.7,1.7
2019-12-10,0.9,-1.4,3.7
2019-12-09,4.5,1,6.1
2019-12-08,6.5,5.1,8.3
2019-12-07,4.8,2,6.5
2019-12-06,0.4,-1.6,3.2
2019-12-05,-2.2,-5.1,1.3
2019-12-04,-1.1,-3.7,4.1
2019-12-03,1.2,0,3.2
2019-12-02,0.4,-1.3,2.6
2019-12-01,-1.8,-4.6,0.9
2019-11-30,0.6,-2.8,3.5
2019-11-29,3.9,0.6,7
2019-11-28,7.5,6.6,8.5
2019-11-27,5.8,3.3,7.7
2019-11-26,4.7,2.9,6.8
2019-11-25,2.2,-1,7.4
2019-11-24,4.9,1.5,8.7
2019-11-23,5.8,4.2,8.8
2019-11-22,3.9,2,5.6
2019-11-21,4.4,2.7,6.5
2019-11-20,2.3,1.8,2.8
2019-11-19,3.5,2.5,4.3
2019-11-18,3.9,2.8,5.3
2019-11-17,1.7,-1.3,3.7
2019-11-16,3.1,-1,5.3
2019-11-15,4.7,2.3,7.6
2019-11-14,2.8,0.5,6
2019-11-13,2.8,0.2,4.8
2019-11-12,2.3,-0.6,5.5
