date,TMK,TNK,TXK
2020-01-16,10.1,4.4,15.1
2020-01-15,8.8,1.9,13.9
2020-01-14,6.9,1.6,11.9
2020-01-13,5.9,4.5,8.1
2020-01-12,2.2,-2,5.4
2020-01-11,4.3,-1.6,7.9
2020-01-10,9,6.7,12.2
2020-01-09,10.1,7.6,13.3
2020-01-08,4.8,-0.3,7.6
2020-01-07,3.7,-0.9,7.9
2020-01-06,-1,-3.3,0.2
2020-01-05,4.2,-1.1,7
2020-01-04,5.5,1.5,8.3
2020-01-03,5.8,1.6,9
2020-01-02,0,-1.9,1.6
2020-01-01,0.1,-4,5.8
2019-12-31,0.7,-3.2,4.2
2019-12-30,-1.9,-4.6,0
2019-12-29,-0.4,-3.4,3.3
2019-12-28,1.2,-1.8,4.3
2019-12-27,5.2,2.7,6.6
2019-12-26,3.2,0.5,5.4
2019-12-25,7.9,1.9,10
2019-12-24,7.8,5.5,10.2
2019-12-23,7.7,6.4,9.4
2019-12-22,7.4,5.2,9.7
2019-12-21,4.8,0.1,9.8
2019-12-20,5.1,-0.4,9
2019-12-19,5.1,2.3,8.8
2019-12-18,9.8,5.4,13.7
2019-12-17,9.1,6.8,12.1
2019-12-16,10,7.7,15.7
2019-12-15,9.5,7.8,13.3
2019-12-14,8.2,5.5,10.4
2019-12-13,4.6,1.7,6.9
2019-12-12,3.5,1,5.2
2019-12-11,1.6,-1.1,4
2019-12-10,2.9,-0.6,6.3
2019-12-09,7.6,5.3,8.9
2019-12-08,10.1,7.8,12.3
2019-12-07,8.8,7.2,10.8
2019-12-06,2.2,-1,7.8
2019-12-05,-1.3,-3.3,0.2
2019-12-04,0.7,-3,5.8
2019-12-03,1.6,-1.3,7.3
2019-12-02,2.3,-1.4,5.9
2019-12-01,2.4,-0.2,3.7
2019-11-30,3,-0.1,8.5
2019-11-29,6.9,2.7,10
2019-11-28,10.5,9.3,12.5
2019-11-27,10.4,6.5,14.2
2019-11-26,8.1,3.8,12.7
2019-11-25,4.9,0.9,7.1
2019-11-24,3.5,0.3,8.2
2019-11-23,5.8,3.6,10.7
2019-11-22,3.5,-0.4,8.1
2019-11-21,1.5,-0.9,4.3
2019-11-20,1.7,-0.2,3.4
2019-11-19,4.6,0.7,6.4
2019-11-18,4.5,3.7,5.9
2019-11-17,3.1,-0.3,5.3
2019-11-16,2.6,-0.4,6.3
2019-11-15,4.3,2.2,6.9
2019-11-14,4.3,0,9
2019-11-13,3.9,0.8,6.5
2019-11-12,5.7,2.5,9.2
2019-11-11,3,2,4.8
2019-11-10,2.5,0.1,4.2
2019-11-09,6,1.7,9.6
2019-11-08,6.2,5.6,7.3
2019-11-07,8.3,5.4,10.9
2019-11-06,9.1,8.1,11.2
2019-11-05,9.4,5.5,13.6
2019-11-04,11.4,9,14.4
2019-11-03,12.4,10.4,16
2019-11-02,14.1,11.3,17.6
2019-11-01,9.1,6.1,12.9
2019-10-31,6.2,2.4,11.3
2019-10-30,6.7,3.6,9.5
2019-10-29,7.6,4.8,10.6
2019-10-28,8.3,5.4,12
2019-10-27,11.8,7.7,18
2019-10-26,12,6.4,19.5
2019-10-25,13,8.3,18.6
2019-10-24,15,11.4,20.6
2019-10-23,13.1,9.1,16.1
2019-10-22,13.5,9.2,17.8
2019-10-21,14.7,13.2,17.5
2019-10-20,15.5,12.9,20.1
2019-10-19,13.6,11.3,17.4
2019-10-18,13.9,10.8,18.2
2019-10-17,14.7,11,20.3
2019-10-16,13.6,9.4,19.6
2019-10-15,15,11.8,21.7
2019-10-14,17.1,11.1,25.2
2019-10-13,17.7,11.2,26.1
2019-10-12,14.7,6.9,22.3
2019-10-11,11.8,6,19.6
