date,TMK,TNK,TXK
2020-01-16,0.7,-3.7,9
2020-01-15,-1.6,-3.4,2.3
2020-01-14,-1.1,-3.7,3.9
2020-01-13,0.3,-2.2,4.6
2020-01-12,-2,-4,-0.2
2020-01-11,2.9,-4,6
2020-01-10,3.1,-3,10.2
2020-01-09,3.2,-0.3,10.1
2020-01-08,0.1,-2.4,2
2020-01-07,-1.6,-5,1.1
2020-01-06,-2.3,-4.3,-1
2020-01-05,1.7,-2,3.2
2020-01-04,4.1,2.8,6
2020-01-03,-1,-4,5.4
2020-01-02,-2.3,-6.6,4.1
2020-01-01,0.1,-4.4,4.4
2019-12-31,0.7,-4.9,6.1
2019-12-30,-2.4,-6.9,3
2019-12-29,-3.6,-7.1,1
2019-12-28,-0.6,-4,1.9
2019-12-27,2.2,-0.5,4.2
2019-12-26,2.3,0,5.6
2019-12-25,5.4,2.7,7.4
2019-12-24,5.4,1.9,8.2
2019-12-23,5.6,4.5,6.7
2019-12-22,2.8,-0.5,7.1
2019-12-21,4.3,0.7,6.9
2019-12-20,6.8,-0.4,14.5
2019-12-19,2.5,-1.8,5.7
2019-12-18,4.9,-0.7,14.5
2019-12-17,3.1,0.7,6.3
2019-12-16,2.9,-1.2,7.5
2019-12-15,6.3,2.3,11.6
2019-12-14,4.4,-0.1,9.9
2019-12-13,1.3,-1.3,5.4
2019-12-12,0.8,-1.5,4.2
2019-12-11,-1.9,-5.2,2.1
2019-12-10,1.7,-3.6,4.6
2019-12-09,5.6,0.4,10.4
2019-12-08,3.2,-1.8,9.7
2019-12-07,3.7,-3.8,10.1
2019-12-06,-2.7,-3.6,-1.7
2019-12-05,-3,-6.3,-1.5
2019-12-04,-1.7,-5.8,3.7
2019-12-03,0,-4.5,4.5
2019-12-02,0.6,-0.5,1.4
2019-12-01,-0.1,-4.5,2
2019-11-30,1.6,-4.3,4.9
2019-11-29,6.4,0.7,9.6
2019-11-28,5.4,-1,10.6
2019-11-27,3.9,0.4,6.1
2019-11-26,4.4,3.5,5.8
2019-11-25,2.4,-0.8,3.6
2019-11-24,3.3,-1,10.5
2019-11-23,5.6,-1.2,12.2
2019-11-22,3.3,2.5,4.3
2019-11-21,3.3,2.1,5.1
2019-11-20,0.5,-3.2,2.2
2019-11-19,1.1,-1.9,4.8
2019-11-18,3.9,0.6,9.4
2019-11-17,4.5,2.1,6.6
2019-11-16,3.5,-1.2,5.6
2019-11-15,3.6,-0.7,10
2019-11-14,0.9,-2.3,5.6
2019-11-13,1.1,-2.2,2.6
2019-11-12,3.5,0.2,6.4
2019-11-11,1.4,0.3,2.5
2019-11-10,1.2,-1.6,3.7
2019-11-09,3.7,-1.1,6.8
2019-11-08,4.9,0.8,6.6
2019-11-07,3.8,-1.3,10.4
2019-11-06,4.6,-0.9,10.5
2019-11-05,6.4,0.3,9.4
2019-11-04,9.8,3.3,14.8
2019-11-03,7.4,2.3,11.2
2019-11-02,8,4.5,13.8
2019-11-01,4.4,3,6.1
2019-10-31,3.9,1.6,8.1
2019-10-30,5.6,4,7.5
2019-10-29,7.1,6.4,8.1
2019-10-28,9.2,7.5,12.6
2019-10-27,11.4,3.3,21
2019-10-26,10.7,6.2,18
2019-10-25,10.4,5.8,17.7
2019-10-24,10.9,8.3,16.5
2019-10-23,11.6,5.3,18.3
2019-10-22,10,6.1,12.5
2019-10-21,11.8,6.9,18.3
2019-10-20,12.2,8.8,18.9
2019-10-19,11,7.7,16.6
2019-10-18,11.8,4.1,20.5
