date,TMK,TNK,TXK
2020-01-16,2,-0.5,5.9
2020-01-15,0.7,-0.8,2.8
2020-01-14,1.9,0.1,2.9
2020-01-13,2.5,1.2,3.3
2020-01-12,1.4,-0.5,3.8
2020-01-11,2.5,0.7,3.7
2020-01-10,6.6,3.6,9.5
2020-01-09,4.7,3.3,7
2020-01-08,2.6,1.2,3.6
2020-01-07,0,-2.6,2.5
2020-01-06,0.7,-0.2,1.6
2020-01-05,0.9,-0.4,2.7
2020-01-04,3.1,0.9,6.3
2020-01-03,0.3,-4.3,7.4
2020-01-02,0.4,-3.4,4.3
2020-01-01,2.2,-0.3,4.7
2019-12-31,2.8,-1.3,5.2
2019-12-30,0.6,-1.4,2.3
2019-12-29,-0.7,-2.3,1.4
2019-12-28,-0.4,-1.2,0.7
2019-12-27,1.4,0.4,2.5
2019-12-26,2.8,1.9,3.8
2019-12-25,4.5,3.2,6.1
2019-12-24,5,2.5,8
2019-12-23,5.1,3.3,6.5
2019-12-22,4,3.1,5.6
2019-12-21,5.8,3.1,8.1
2019-12-20,8.4,7.3,9.7
2019-12-19,6.6,2.6,8.8
2019-12-18,4.9,3,7
2019-12-17,5.5,4.2,7
2019-12-16,5.7,3.6,8
2019-12-15,5.2,3.1,8.1
2019-12-14,3.9,2.2,6.2
2019-12-13,0.4,-0.8,2.6
2019-12-12,-0.5,-1.4,0.4
2019-12-11,0.1,-1.4,1.8
2019-12-10,2.5,-0.2,4.9
2019-12-09,6.4,3.5,8.2
2019-12-08,7.6,5.8,9.3
2019-12-07,5.9,1.3,8.3
2019-12-06,0.1,-1.6,1.6
2019-12-05,-1.2,-2,-0.2
2019-12-04,2,-0.6,4.6
2019-12-03,1.5,-0.8,3.1
2019-12-02,0.8,-1.4,2.6
2019-12-01,0.1,-1.2,1.5
2019-11-30,0.8,-2.5,4.5
2019-11-29,5.3,-0.4,9.4
2019-11-28,8,5.2,10.4
2019-11-27,5.2,3.8,6.4
2019-11-26,4.4,4.2,4.9
2019-11-25,5.7,4.9,6.4
2019-11-24,6.5,5.5,7.2
2019-11-23,7.5,6.5,8.8
2019-11-22,8.4,6.6,10.7
2019-11-21,7.2,4.5,9.6
2019-11-20,4.2,3.5,4.7
2019-11-19,5.5,3.2,8.6
2019-11-18,8.5,3.7,12.2
2019-11-17,9.6,3,14
2019-11-16,7.9,2,11.6
2019-11-15,8.7,5.2,10.7
2019-11-14,3.8,1.8,6.7
2019-11-13,2.6,1.3,3.8
2019-11-12,3,1.8,4.1
2019-11-11,1.1,-0.8,3.7
2019-11-10,1.4,-1.5,5.3
2019-11-09,5.5,1.7,6.7
2019-11-08,7.2,3.5,9.8
2019-11-07,7.6,5.2,10.6
2019-11-06,7.1,3.5,10.2
2019-11-05,8.1,3.6,11.3
2019-11-04,9.7,8,13.3
2019-11-03,8.6,7.8,10
2019-11-02,6.9,4.2,10.2
2019-11-01,3.1,-0.2,6.1
2019-10-31,1.4,-2.8,7.8
2019-10-30,2.8,-1.8,8.5
2019-10-29,4.2,2.1,7.2
2019-10-28,6,2.9,10.7
2019-10-27,10.1,5.5,16.6
2019-10-26,13.6,9.9,18.1
2019-10-25,13,8.6,19.1
2019-10-24,13.9,10.1,17.3
2019-10-23,14.6,10.9,18.5
2019-10-22,12.7,8.5,17.9
2019-10-21,15.2,10.4,21.1
2019-10-20,12.6,10.4,14.4
2019-10-19,12.7,10.2,15.8
2019-10-18,13.9,10.8,18.1
2019-10-17,12.3,9.8,15.3
2019-10-16,13.2,11.9,14.9
2019-10-15,14.4,12.1,16.9
2019-10-14,16.3,12.8,21.2
2019-10-13,17,13.5,21
2019-10-12,15.6,10.5,21.5
2019-10-11,11.6,7.3,14.8
2019-10-10,10,8.5,13.1
2019-10-09,11.8,9.7,16.7
2019-10-08,7.6,4.3,11
2019-10-07,5.2,-0.7,11.3
2019-10-06,5.7,2.4,10
2019-10-05,7.2,5.5,8.2
2019-10-04,9.1,6.9,12.7
2019-10-03,8,4.7,11.7
2019-10-02,10.1,5.1,15.2
2019-10-01,14.5,10.5,19.8
2019-09-30,14.3,11.1,17.4
2019-09-29,15.1,11.2,18.2
2019-09-28,14.2,9.7,19.8
2019-09-27,14.9,12.8,18.4
2019-09-26,14.1,8.4,19.6
2019-09-25,13.9,10,17.6
2019-09-24,15.2,12.4,19.4
2019-09-23,14.3,8.7,20.5
2019-09-22,15.5,10.8,21.2
2019-09-21,12.4,4.1,18.8
2019-09-20,8.4,1.9,14.6
2019-09-19,8.8,4.8,13.9
2019-09-18,9.1,6.6,13.9
2019-09-17,11.1,8,15.5
2019-09-16,13.3,10.1,16.2
2019-09-15,16.6,9.4,24.1
2019-09-14,13.7,8.4,19.2
2019-09-13,16.9,13.3,21.6
2019-09-12,15.4,10,20.6
2019-09-11,14.6,6.5,21.8
2019-09-10,13,8.3,17.8
2019-09-09,11.9,10.5,13.6
2019-09-08,13.4,7,19.7
2019-09-07,12.7,9.8,15.4
2019-09-06,13.5,8.4,18.4
2019-09-05,15.7,11.3,21.8
2019-09-04,18.1,10,24.4
2019-09-03,15,6.4,22.5
2019-09-02,15.3,9,19.4
2019-09-01,21.3,15.3,29.2
2019-08-31,24.5,17,30.3
2019-08-30,22,14.6,29.5
2019-08-29,21.2,16.3,30.3
2019-08-28,24.5,20.4,28.8
2019-08-27,23.7,19.5,27.9
2019-08-26,23.4,17.1,29.2
2019-08-25,22.7,17.3,29.8
2019-08-24,20.9,12.7,27
2019-08-23,19.3,11.8,25.8
2019-08-22,17.4,10,23.7
2019-08-21,16.5,11,22.1
2019-08-20,17.7,13.6,23.3
2019-08-19,17.3,14.2,20.1
2019-08-18,22.2,16.2,30.1
2019-08-17,18,12.9,22.2
2019-08-16,17.2,13.9,21.9
2019-08-15,16,10.2,20.4
2019-08-14,15.6,9.4,21.1
2019-08-13,17.5,13.4,22.5
2019-08-12,16.7,14.6,19
2019-08-11,21,15.1,26.7
2019-08-10,19.7,16.5,23
2019-08-09,22.4,13.4,28.4
2019-08-08,19.7,13.7,24.9
2019-08-07,18.7,15.7,23.3
2019-08-06,20.2,14.6,26.5
2019-08-05,18.6,12,26
2019-08-04,17.9,10.9,24.8
2019-08-03,16.4,12.7,21.6
2019-08-02,18.6,11.8,24.5
2019-08-01,18.4,12.7,24.7
2019-07-31,19.9,14.5,25.2
2019-07-30,22.7,18.8,28.4
2019-07-29,22.8,17.6,30.4
