date,TMK,TNK,TXK
2020-01-16,6.7,-1,12.2
2020-01-15,11.3,5.2,13.2
2020-01-14,10.1,8.6,12.4
2020-01-13,7.6,5.9,9.5
2020-01-12,6.4,3.5,8.4
2020-01-11,3.9,-1.2,6.9
2020-01-10,7.7,0.7,11.1
2020-01-09,11.7,9.8,13.5
2020-01-08,9.6,6.5,11.1
2020-01-07,6.4,4,8.3
2020-01-06,5.1,-0.6,7.2
2020-01-05,6.1,4.3,7.1
2020-01-04,5.1,1,6.9
2020-01-03,7.8,2.5,9.7
2020-01-02,0.8,-6.3,6.1
2020-01-01,-3,-5.7,1.4
2019-12-31,2.6,-3.6,6.1
2019-12-30,4.8,-2.6,11.9
2019-12-29,-0.9,-4.8,4
2019-12-28,-1,-4,3.9
2019-12-27,3.5,-1.5,6.5
2019-12-26,5.8,4.5,7.3
2019-12-25,7.3,4.2,8.8
2019-12-24,8,6.2,10
2019-12-23,7.8,6.7,8.9
2019-12-22,8.3,6.5,11.3
2019-12-21,8.5,5.7,10.9
2019-12-20,10.4,5,14.9
2019-12-19,12.1,7.8,16.8
2019-12-18,7.3,3.4,10.9
2019-12-17,12.8,7.5,16
2019-12-16,7.6,3.9,10.6
2019-12-15,7.7,3.8,9.7
2019-12-14,5.6,3.4,7.1
2019-12-13,4.5,3.3,6.3
2019-12-12,4.7,2.9,6.2
2019-12-11,4.7,3.3,7
2019-12-10,3.5,-1.5,7
2019-12-09,6.7,3.4,8.2
2019-12-08,9.5,7.2,10.8
2019-12-07,9,8.4,9.4
2019-12-06,5.8,2.8,8.6
2019-12-05,0.7,-3.9,4.3
2019-12-04,0.4,-2.8,8.4
2019-12-03,4.6,-1.6,7.7
2019-12-02,2.5,-1.1,5.3
2019-12-01,-0.7,-3.1,1.4
2019-11-30,0.7,-3.4,5.9
2019-11-29,5.8,2.5,8.4
2019-11-28,9.9,8,11.7
2019-11-27,10.9,9.3,13
2019-11-26,8.7,1.6,12.8
2019-11-25,5,1.1,8.3
2019-11-24,3.4,-0.3,10.7
2019-11-23,6,2,10.3
2019-11-22,5.9,0.9,11
2019-11-21,2.4,-0.8,5.5
2019-11-20,1.8,-1.9,6.1
2019-11-19,3.6,-1.6,6.6
2019-11-18,5.1,3.9,6.9
2019-11-17,1.4,-2.7,4.2
2019-11-16,3.6,-1.1,9
2019-11-15,3.8,1.7,7
2019-11-14,5.4,2.7,9.1
2019-11-13,5.3,2.9,7.8
2019-11-12,5,2.7,6.9
2019-11-11,3.8,-2.6,7.7
2019-11-10,1.7,-2.7,10.8
2019-11-09,3.8,-0.3,7.9
2019-11-08,5.4,1.5,12.4
2019-11-07,7.8,3.8,11.5
2019-11-06,7.5,3,9.9
2019-11-05,8.6,6.2,10.6
2019-11-04,10.7,7.9,13.5
2019-11-03,12.4,9.9,15.6
2019-11-02,13.5,11.3,15.8
2019-11-01,6.8,-0.5,12.6
2019-10-31,3.4,-1,9.7
2019-10-30,3.5,-1.2,9
2019-10-29,6,0.1,11.4
2019-10-28,6,1.1,12.7
2019-10-27,10.3,2.9,18.4
2019-10-26,17.1,14.6,20.3
2019-10-25,14.7,12.6,16.5
2019-10-24,13.8,6.5,20.4
2019-10-23,12.2,7.8,17.7
2019-10-22,11.6,7.9,14.2
2019-10-21,13.7,10.6,18.2
2019-10-20,11.7,10.6,12.8
2019-10-19,12.4,10.5,15.5
2019-10-18,13.1,9.7,18.1
2019-10-17,14.4,13.4,16.4
2019-10-16,13.6,11.5,16.1
2019-10-15,15.2,11.3,18.9
2019-10-14,16.9,11.5,22.8
2019-10-13,19.3,14.8,23.9
2019-10-12,16.5,14.8,19.2
2019-10-11,15,12.1,17.3
2019-10-10,12.4,9.9,15.3
2019-10-09,12.5,10.4,14.6
2019-10-08,13.2,11.6,15.8
2019-10-07,10.6,6.5,14
2019-10-06,8.8,7.8,10.8
2019-10-05,10.1,7.4,14.3
2019-10-04,10.7,9.3,13.4
2019-10-03,10.7,8.9,14.7
