date,TMK,TNK,TXK
2020-01-16,6.8,2.9,11
2020-01-15,11.5,6.3,13
2020-01-14,10.1,7.7,12
2020-01-13,6.6,2.5,8.1
2020-01-12,6.2,4.2,8.8
2020-01-11,3.8,0.2,6.2
2020-01-10,7.7,2.9,11.6
2020-01-09,11.2,9,12.7
2020-01-08,9.3,7.3,11
2020-01-07,6.2,4.1,7.9
2020-01-06,4.7,1.1,6.1
2020-01-05,4.1,-0.2,6.4
2020-01-04,5.1,3,7.7
2020-01-03,7,4.8,9.1
2020-01-02,-0.7,-5,5.1
2020-01-01,-1.6,-4.4,0.2
2019-12-31,5.1,-0.2,7.8
2019-12-30,6,1.7,8.9
2019-12-29,0.1,-3.5,3.9
2019-12-28,0.6,-2.3,2.8
2019-12-27,2.5,0.3,4.3
2019-12-26,5.3,3.2,7.1
2019-12-25,6.6,5.4,8.1
2019-12-24,7.1,6.1,8.5
2019-12-23,7.5,6.2,8.9
2019-12-22,7.5,4.5,9.7
2019-12-21,7.7,4.3,9.9
2019-12-20,10.2,7,13.4
2019-12-19,9.4,3.6,14.3
2019-12-18,6.2,2.6,10.8
2019-12-17,10.5,3.2,14.8
2019-12-16,7,4.3,9.1
2019-12-15,7.2,2.6,8.9
2019-12-14,5,1.9,7.1
2019-12-13,3.2,2.4,5.3
2019-12-12,4.1,2,6.1
2019-12-11,4.8,3.4,6.4
2019-12-10,3.6,0.7,6.2
2019-12-09,6.3,3.5,7.9
2019-12-08,9.1,7,11
2019-12-07,8.7,7.8,9.5
2019-12-06,5.4,2.2,8.1
2019-12-05,0.3,-3,3.2
2019-12-04,2,-2.5,7.2
2019-12-03,5.6,1.1,7.6
2019-12-02,3.3,0.3,6.9
2019-12-01,-1.3,-3.5,0.7
2019-11-30,2,-1.8,6.9
2019-11-29,5.3,2.1,7.3
2019-11-28,9.6,7.3,11
2019-11-27,10.2,9,12
2019-11-26,7.5,2.5,10.3
2019-11-25,4.3,3.4,5.3
2019-11-24,5.2,3.9,6.5
2019-11-23,5.8,3,8.8
2019-11-22,4.6,1.1,8.6
2019-11-21,3.5,2,5.3
2019-11-20,1.9,0.3,2.7
2019-11-19,5.1,-0.2,7.2
2019-11-18,5.1,4,6
2019-11-17,2.1,-2,5
2019-11-16,4.2,0.4,6.7
2019-11-15,4.1,1.3,6.2
2019-11-14,5.2,2.9,8.2
2019-11-13,4.7,2.8,6.8
2019-11-12,5.2,2.5,7.8
2019-11-11,3,-2.2,6.2
2019-11-10,2.1,-2.1,8.2
2019-11-09,4.3,0.7,6.8
2019-11-08,5.3,0.8,10.8
2019-11-07,6.3,0.1,10.9
2019-11-06,6.8,0.8,8.8
2019-11-05,9.3,7,10.5
2019-11-04,10.8,7.2,12.9
2019-11-03,12,10.4,14.6
2019-11-02,12.7,9.7,15.8
2019-11-01,4,-1.4,9.9
2019-10-31,2.5,-1.8,9.1
2019-10-30,3.6,-1.6,9.2
2019-10-29,5.2,0.1,10.3
2019-10-28,7.1,2.9,12.5
2019-10-27,10.7,6.8,17.9
2019-10-26,16.7,13.6,19.9
2019-10-25,14.3,12.7,16.3
2019-10-24,13.9,7.7,18.1
2019-10-23,11.8,7.3,15.7
2019-10-22,10.9,6.4,14.4
2019-10-21,14,9.3,19
2019-10-20,11.3,8.8,13
2019-10-19,12.2,8.8,15.3
2019-10-18,13.2,10.6,18.2
2019-10-17,14.1,13.3,15.9
2019-10-16,13.7,12.2,16.1
2019-10-15,15.7,10.8,20.7
2019-10-14,15.8,10.9,18.8
2019-10-13,17.6,11.1,22.9
2019-10-12,14.9,11.3,16.9
2019-10-11,14.2,11.6,16.5
2019-10-10,10.7,8.4,14.3
2019-10-09,11.6,9,13.7
2019-10-08,12.7,11,14.9
2019-10-07,8.6,2.1,13.5
2019-10-06,8,5.5,9.9
2019-10-05,9.1,7,13.8
2019-10-04,9.2,7.6,10.2
2019-10-03,11,7.3,15
2019-10-02,10,7.3,13.3
2019-10-01,13.9,9.1,17.5
2019-09-30,13.9,10.8,16.4
2019-09-29,14.5,12.6,16
2019-09-28,15.4,14.1,17.9
2019-09-27,15.9,13.5,19
2019-09-26,16,13.1,18.7
2019-09-25,14.9,11.5,18.6
2019-09-24,15.2,8.4,20.8
2019-09-23,15.5,10.9,18.2
2019-09-22,16.7,6.2,26.5
2019-09-21,13.6,3.3,22.8
2019-09-20,10,2.4,18.9
2019-09-19,9.4,3.1,16.4
2019-09-18,11,5.4,16.9
2019-09-17,11.8,9,16.6
2019-09-16,12.8,9,15.7
2019-09-15,14.8,5.6,23.9
2019-09-14,11.8,3.9,19.7
2019-09-13,16.6,6.5,20.6
2019-09-12,18.2,15,22.2
2019-09-11,13.7,6,20.8
2019-09-10,12.8,6.1,20.2
2019-09-09,12.6,8.1,19.2
2019-09-08,12.5,8.3,18.6
2019-09-07,14.3,9.7,19.9
2019-09-06,13.4,6.4,19.2
2019-09-05,14,8.1,19.1
2019-09-04,16.9,13.3,22
2019-09-03,15.6,11.5,20.3
2019-09-02,14.4,9,20.2
2019-09-01,17.4,10.4,20.5
2019-08-31,22.5,12.2,31.4
2019-08-30,19,13.5,25.4
2019-08-29,19.9,15.5,24.5
2019-08-28,23.9,16.6,34.3
2019-08-27,25.1,14.8,34.1
2019-08-26,24.5,15.2,33.5
2019-08-25,22.7,12.3,31.7
2019-08-24,20.7,9.9,29.7
2019-08-23,19.3,9.1,28.3
2019-08-22,18.1,7.8,27.3
2019-08-21,15.5,8.2,22.7
2019-08-20,16.2,10.5,22.6
2019-08-19,17.1,11.3,22.6
2019-08-18,16.2,14.3,19
2019-08-17,19.4,17,23.2
2019-08-16,18,13.8,22.4
2019-08-15,16.9,13.8,22.1
2019-08-14,16.1,7.4,23
2019-08-13,14.2,10,20
2019-08-12,17.9,11.6,25.6
2019-08-11,20.3,15.9,24.6
2019-08-10,21.8,18,25.6
2019-08-09,19.6,10.5,27.6
2019-08-08,18.7,12.5,24.8
2019-08-07,18.6,13.6,24.4
2019-08-06,20.1,13.8,25.7
2019-08-05,20.8,16,26.5
2019-08-04,19.2,12.1,26
2019-08-03,18.1,12.8,23.6
2019-08-02,18.9,11.2,26.8
2019-08-01,18.8,12.4,24.9
2019-07-31,20.3,14.5,26.7
2019-07-30,23.4,13.5,31.3
2019-07-29,21.5,16.7,26.6
2019-07-28,23.6,16.9,29.3
2019-07-27,24.8,18.3,30.8
2019-07-26,27.8,21.6,34
2019-07-25,30.5,19.2,39.1
2019-07-24,28,17.7,37
2019-07-23,24.6,14,33.3
2019-07-22,20.6,12.2,28.5
2019-07-21,19.6,12.9,25.1
2019-07-20,19.5,12.6,30.2
2019-07-19,20.3,13.2,25.8
2019-07-18,20.3,10.5,26.8
2019-07-17,18,12.8,23.3
2019-07-16,15.4,12.7,17.7
2019-07-15,14.8,11.2,19.4
2019-07-14,14.7,12.4,16.8
2019-07-13,15.8,13.2,19.9
2019-07-12,16.8,11.9,23.7
2019-07-11,16.5,12.8,20.3
2019-07-10,14.9,6,20
2019-07-09,13.8,6.1,18.8
2019-07-08,13.4,7.3,18.1
2019-07-07,14,6.4,18.6
2019-07-06,16,9.7,23.1
2019-07-05,18.8,12,24.6
2019-07-04,16.1,4.7,23.5
2019-07-03,13.8,5.8,21.4
2019-07-02,16.5,8.3,22
2019-07-01,19.9,12.5,27
2019-06-30,24.6,12.8,36
2019-06-29,22.1,8.6,32
2019-06-28,17.9,11.9,25.1
2019-06-27,16.9,12.4,22.3
2019-06-26,24.4,15.1,31.3
2019-06-25,26.6,15.6,34
2019-06-24,24.1,17.1,30.4
2019-06-23,21.3,13.7,28
2019-06-22,18.1,9.1,24.9
2019-06-21,17.8,12.2,23
2019-06-20,18.8,14,24.2
2019-06-19,21.6,14.5,32.4
2019-06-18,22.8,13,29.9
2019-06-17,20.3,9.8,27.1
2019-06-16,17.6,9.6,25
2019-06-15,19.1,11.4,23.5
2019-06-14,20.2,10,27.6
2019-06-13,17.4,10.8,23.1
2019-06-12,16,10.9,18.3
2019-06-11,17.3,14,22.1
2019-06-10,19.2,14.5,26.3
2019-06-09,17,9.1,23.6
2019-06-08,15.8,11.6,20.1
2019-06-07,16.8,7,24.4
2019-06-06,16.5,10,22
2019-06-05,22.7,17.3,27.6
2019-06-04,19.7,14.8,23.9
2019-06-03,19,14,25.2
2019-06-02,23.7,12.5,32
2019-06-01,19.5,8.7,27.5
2019-05-31,18.9,11.6,25.2
2019-05-30,15.5,10.1,18.9
2019-05-29,11.6,0.5,18.7
2019-05-28,10.9,4,16.3
2019-05-27,15.8,8.1,20.9
2019-05-26,15.9,5.1,22.6
2019-05-25,12.4,5.4,17.8
2019-05-24,15.7,5.9,24.6
2019-05-23,14.2,3,21.4
2019-05-22,12.6,6.5,18.5
2019-05-21,14.1,11.9,17
2019-05-20,16.3,7.7,23.9
2019-05-19,16.3,6.2,25
2019-05-18,15.2,6.1,23.1
2019-05-17,11.7,7.6,15.6
2019-05-16,9.3,7.1,11.5
2019-05-15,10,-0.8,16.6
2019-05-14,9.2,0.6,16.3
2019-05-13,8.2,-1.2,15.5
2019-05-12,8.1,0.8,14.7
2019-05-11,8.7,3.8,14.4
2019-05-10,10.7,6.6,14.1
2019-05-09,12.4,7.7,17.8
2019-05-08,8.8,0.7,13.3
2019-05-07,7,-0.3,13
2019-05-06,6.5,0.5,13
2019-05-05,5,-1.5,11.1
2019-05-04,4.3,-1.4,9.3
2019-05-03,7.8,3.9,12.1
2019-05-02,10.1,5.6,14
2019-05-01,10.9,5.5,17.2
2019-04-30,11.5,6.9,17.9
2019-04-29,7.4,0,10.6
2019-04-28,8.9,1.4,14.4
2019-04-27,9.4,5.5,14.8
2019-04-26,11.3,7.5,13.3
2019-04-25,15.7,8.5,22.2
2019-04-24,17.8,10.6,25.5
2019-04-23,15.3,10.2,20.3
2019-04-22,14.9,7,21.4
2019-04-21,13.1,0.7,22.1
2019-04-20,14.4,5.5,22.1
2019-04-19,15.1,7.4,22.3
